name;openinggross;theathers;tconst;titleType;originalTitle;isAdult;startYear;runtimeMinutes;genres;director_identifier;primaryName;primaryProfession;knownForTitles
Bringing Down the House;$31,101,026;2,801;tt0305669;movie;Bringing Down the House;FALSE;2003;105;Comedy;nm0788202;Adam Shankman;producer,miscellaneous,director;tt0452598,tt0281358,tt1336608,tt0427327
Four Christmases;$31,069,826;3,310;tt0369436;movie;Four Christmases;FALSE;2008;88;Comedy,Drama,Romance;nm1164861;Seth Gordon;producer,director,miscellaneous;tt0384286,tt1152822,tt2120120,tt13320622
Space Jam: A New Legacy;$31,053,362;3,965;tt3554046;movie;Space Jam: A New Legacy;FALSE;2021;115;Adventure,Animation,Comedy;nm0002700;Malcolm D. Lee;writer,director,producer;tt0168501,tt2083355,tt3564472,tt14022728
Into the Woods;$31,051,923;2,440;tt21654136;movie;Into the Woods;FALSE;NA;NA;\N;nm6942723;Lear Debessonet;director,producer;tt21654136,tt2991622,tt14635982
Pokémon: The First Movie - Mewtwo Strikes Back;$31,036,678;3,043;tt0190641;movie;Gekijô-ban poketto monsutâ - Myûtsû no gyakushû;FALSE;1998;96;Action,Adventure,Animation;nm0951197;Kunihiko Yuyama;director,art_department,writer;tt14940406,tt5912052,tt26669867,tt0190641
Downton Abbey;$31,033,665;3,079;tt6398184;movie;Downton Abbey;FALSE;2019;122;Drama,Romance;nm0257554;Michael Engler;director,producer,writer;tt2690226,tt6398184,tt1606375,tt0159206
Sex and the City 2;$31,001,870;3,445;tt1261945;movie;Sex and the City 2;FALSE;2010;146;Comedy,Drama,Romance;nm0455078;Michael Patrick King;producer,writer,director;tt0434672,tt1000774,tt1261945,tt0159206
Step Brothers;$30,940,732;3,094;tt0838283;movie;Step Brothers;FALSE;2008;98;Comedy;nm0570912;Adam McKay;producer,writer,director;tt1596363,tt1386588,tt6266538,tt11286314
Little Fockers;$30,833,665;3,536;tt0970866;movie;Little Fockers;FALSE;2010;98;Comedy,Romance;nm0919369;Paul Weitz;producer,writer,director;tt0276751,tt4270516,tt0450405,tt0385267
Star Trek: First Contact;$30,716,131;2,812;tt0117731;movie;Star Trek: First Contact;FALSE;1996;111;Action,Adventure,Drama;nm0000408;Jonathan Frakes;actor,director,producer;tt0253754,tt0111280,tt0117731,tt0120844
Knocked Up;$30,690,990;2,871;tt0478311;movie;Knocked Up;FALSE;2007;129;Comedy,Romance;nm0031976;Judd Apatow;producer,writer,director;tt0478311,tt0405422,tt9686708,tt1723816
The Dukes of Hazzard;$30,675,314;3,785;tt0377818;movie;The Dukes of Hazzard;FALSE;2005;104;Comedy;nm0151540;Jay Chandrasekhar;director,actor,writer;tt0486551,tt0247745,tt0331953,tt0377818
Unbroken;$30,621,445;3,131;tt10402572;movie;Unbroken;FALSE;2018;104;Drama;nm10725766;Tayo Osasona;director;tt10402572
Brüno;$30,619,130;2,756;tt0889583;movie;Brüno;FALSE;2009;81;Comedy;nm0153078;Larry Charles;producer,writer,director;tt0889583,tt0098904,tt1645170,tt0264235
Saving Private Ryan;$30,576,104;2,463;tt0120815;movie;Saving Private Ryan;FALSE;1998;169;Drama,War;nm0000229;Steven Spielberg;producer,writer,director;tt0082971,tt0120815,tt0108052,tt0083866
The Pacifier;$30,552,694;3,131;tt0395699;movie;The Pacifier;FALSE;2005;95;Action,Comedy,Drama;nm0788202;Adam Shankman;producer,miscellaneous,director;tt0452598,tt0281358,tt1336608,tt0427327
Bram Stoker's Dracula;$30,521,679;2,491;tt0103874;movie;Bram Stoker's Dracula;FALSE;1992;128;Drama,Fantasy,Horror;nm0000338;Francis Ford Coppola;producer,director,writer;tt0078788,tt0071562,tt0068646,tt0071360
The Happening;$30,517,109;2,986;tt0061748;movie;The Happening;FALSE;1967;101;Comedy;nm0799033;Elliot Silverstein;director,miscellaneous,actor;tt0075809,tt0066049,tt0059017,tt0053534
Just Go with It;$30,514,732;3,548;tt1564367;movie;Just Go with It;FALSE;2011;117;Comedy,Romance;nm0240797;Dennis Dugan;actor,director,producer;tt0116483,tt0960144,tt0142342,tt0077070
The Day the Earth Stood Still;$30,480,153;3,560;tt0043456;movie;The Day the Earth Stood Still;FALSE;1951;92;Drama,Sci-Fi;nm0936404;Robert Wise;director,producer,editor;tt0055614,tt0057129,tt0059742,tt0066769
Dear John;$30,468,614;2,969;tt0058281;movie;Käre John;FALSE;1964;111;Drama,Romance;nm0511837;Lars-Magnus Lindgren;director,writer;tt0063658,tt0061125,tt0055647,tt0058281
The Lost City;$30,453,269;4,253;tt0011413;movie;The Lost City;FALSE;1920;300;Action,Adventure;nm0552228;E.A. Martin;director,writer,actor;tt0221265,tt0011413,tt0012463,tt0002862
John Wick: Chapter 2;$30,436,123;3,113;tt4425200;movie;John Wick: Chapter 2;FALSE;2017;122;Action,Crime,Thriller;nm0821432;Chad Stahelski;stunts,producer,actor;tt2911666,tt0234215,tt10838180,tt10366206
Night at the Museum;$30,433,781;3,685;tt0477347;movie;Night at the Museum;FALSE;2006;108;Adventure,Comedy,Family;nm0506613;Shawn Levy;producer,director,actor;tt1714206,tt6264654,tt2463208,tt2543164
M3GAN;$30,429,860;3,509;tt8760708;movie;M3GAN;FALSE;2022;102;Horror,Sci-Fi,Thriller;nm2067421;Gerard Johnstone;writer,director,producer;tt8760708,tt6807662,tt3504048,tt1269660
Olympus Has Fallen;$30,373,794;3,098;tt2302755;movie;Olympus Has Fallen;FALSE;2013;119;Action,Thriller;nm0298807;Antoine Fuqua;producer,director,actor;tt0139654,tt0455944,tt1798684,tt2404435
