movie;openinggross;theathers;runtimeMinutes;genres;director_identifier;primaryProfession;runtime_dummy;director_count;directed_above_median
Bruce Almighty;67953330;3,483;101;Comedy,Fantasy;nm0001723;producer,director,actor;0;4;1
Cinderella;67877361;3,845;52;Drama,Fantasy;nm0456804;actor,director,writer;0;1;0
Aquaman;67873522;4,125;143;Action,Adventure,Fantasy;nm1490123;producer,writer,director;1;5;1
Quantum of Solace;67528882;3,451;106;Action,Adventure,Mystery;nm0286975;producer,director,writer;0;3;1
Rush Hour 2;67408222;3,118;90;Action,Comedy,Crime;nm0711840;producer,director,music_department;0;5;1
Fast X;67017410;4,046;141;Action,Adventure,Crime;nm0504642;director,producer,actor;1;3;1
Black Adam;67004323;4,402;125;Action,Adventure,Fantasy;nm1429471;producer,director;1;2;0
World War Z;66411834;3,607;116;Action,Adventure,Horror;nm0286975;producer,director,writer;1;3;1
Brave;66323594;4,164;58;Drama,Music;nm0822582;writer,director,actor;0;1;0
X-Men: Apocalypse;65769562;4,150;144;Action,Adventure,Sci-Fi;nm0001741;producer,director,actor;1;7;1
Thor;65723338;3,955;115;Action,Fantasy;nm0000110;actor,producer,director;1;1;0
Teenage Mutant Ninja Turtles;65575105;3,845;93;Action,Adventure,Comedy;nm0006625;director,producer,writer;0;1;0
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;65556312;3,616;143;Adventure,Family,Fantasy;nm0011470;producer,director,writer;1;2;0
2012;65237614;3,404;158;Action,Adventure,Sci-Fi;nm0000386;writer,producer,director;1;5;1
Captain America: The First Avenger;65058524;3,715;124;Action,Adventure,Sci-Fi;nm0002653;director,visual_effects,producer;1;3;1
War of the Worlds;64878725;3,908;116;Action,Adventure,Sci-Fi;nm0000229;producer,writer,director;1;10;1
The Twilight Saga: Eclipse;64832191;4,468;124;Action,Adventure,Drama;nm1720541;director,producer,writer;1;1;0
Star Wars: Episode I - The Phantom Menace;64820970;2,970;136;Action,Adventure,Fantasy;nm0000184;writer,producer,director;1;3;1
WALL·E;63087526;3,992;98;Adventure,Animation,Family;nm0004056;writer,actor,producer;0;2;0
Inception;62785337;3,792;148;Action,Adventure,Sci-Fi;nm0634240;writer,producer,director;1;6;1
Hancock;62603879;3,965;92;Action,Comedy,Drama;nm0000916;producer,actor,writer;0;2;0
Sherlock Holmes;62304277;3,626;116;Crime,Mystery;nm0077928;miscellaneous,director,writer;1;1;0
Fantastic Beasts: The Crimes of Grindelwald;62163104;4,163;134;Adventure,Family,Fantasy;nm0946734;director,producer,writer;1;8;1
Hulk;62128420;3,660;138;Action,Sci-Fi;nm0000487;director,producer,writer;1;2;0
The Lord of the Rings: The Two Towers;62007528;3,622;179;Action,Adventure,Drama;nm0001392;producer,director,writer;1;6;1
The Amazing Spider-Man;62004688;4,318;136;Action,Adventure,Sci-Fi;nm1989536;producer,director,writer;1;2;0
Mission: Impossible - Fallout;61236534;4,386;147;Action,Adventure,Thriller;nm0003160;writer,producer,director;1;3;1
Clash of the Titans;61235105;3,777;118;Action,Adventure,Family;nm0204471;camera_department,director,writer;1;1;0
Transformers: Rise of the Beasts;61045464;3,678;127;Action,Adventure,Sci-Fi;nm4023702;director,producer,writer;1;2;0
Kong: Skull Island;61025472;3,846;118;Action,Adventure,Fantasy;nm3611349;director,producer,writer;1;1;0
Indiana Jones and the Dial of Destiny;60368101;4,600;154;Action,Adventure,Sci-Fi;nm0003506;producer,director,writer;1;3;1
Straight Outta Compton;60200180;2,757;147;Biography,Drama,History;nm0336620;director,producer,actor;1;5;1
Signs;60117080;3,264;106;Drama,Mystery,Sci-Fi;nm0796117;producer,director,writer;0;4;1
Fast & Furious Presents: Hobbs & Shaw;60038950;4,253;137;Action,Adventure,Thriller;nm0500610;stunts,producer,actor;1;2;0
Star Trek Beyond;59253211;3,928;122;Action,Adventure,Sci-Fi;nm0510912;producer,director,writer;1;6;1
Jumanji: The Next Level;59251543;4,227;123;Action,Adventure,Comedy;nm0440458;producer,director,actor;1;3;1
Jason Bourne;59215365;4,026;123;Action,Thriller;nm0339030;director,producer,writer;1;4;1
Pearl Harbor;59078912;3,214;183;Action,Drama,History;nm0000881;producer,director,actor;1;8;1
Creed III;58370007;4,007;116;Drama,Sport;nm0430107;actor,producer,director;1;1;0
Fantastic Four: Rise of the Silver Surfer;58051684;3,959;92;Action,Adventure,Fantasy;nm1103162;director,producer,actor;0;6;1
Sonic the Hedgehog;58018348;4,167;99;Action,Adventure,Comedy;nm1733778;animation_department,director,writer;0;2;0
Mission: Impossible II;57845297;3,653;123;Action,Adventure,Thriller;nm0000247;director,producer,writer;1;2;0
Ant-Man;57225526;3,856;117;Action,Comedy,Sci-Fi;nm0715636;director,producer,actor;1;3;1
Sex and the City;57038404;3,285;145;Comedy,Drama,Romance;nm0455078;producer,writer,director;1;2;0
John Wick: Chapter 3 - Parabellum;56818067;3,850;130;Action,Crime,Thriller;nm0821432;stunts,producer,actor;1;3;1
War for the Planet of the Apes;56262929;4,022;140;Action,Adventure,Drama;nm0716257;producer,writer,director;1;4;1
Valentine's Day;56260707;3,665;95;Comedy,Fantasy,Romance;nm0657239;assistant_director,director,actor;0;1;0
Snow White and the Huntsman;56217700;3,773;127;Action,Adventure,Drama;nm2782185;director,writer,producer;1;1;0
Charlie and the Chocolate Factory;56178450;3,770;115;Adventure,Comedy,Family;nm0000318;producer,miscellaneous,director;1;5;1
Fantastic Four;56061504;3,602;106;Action,Adventure,Fantasy;nm1103162;director,producer,actor;0;6;1
Gravity;55785112;3,575;83;Drama;nm1644451;director,editorial_department,actor;0;1;0
The Karate Kid;55665805;3,663;126;Action,Drama,Family;nm0000814;director,editor,producer;1;1;0
Mission: Impossible - Rogue Nation;55520089;3,956;131;Action,Adventure,Thriller;nm0003160;writer,producer,director;1;3;1
The Incredible Hulk;55414050;3,505;112;Action,Adventure,Sci-Fi;nm0504642;director,producer,actor;1;3;1
No Time to Die;55225007;4,407;95;Comedy;nm0025347;director,actor,writer;0;1;0
Watchmen;55214334;3,611;162;Action,Drama,Mystery;nm0811583;director,producer,writer;1;4;1
X-Men: First Class;55101604;3,641;131;Action,Sci-Fi;nm0891216;producer,director,writer;1;3;1
How the Grinch Stole Christmas;55082330;3,127;104;Comedy,Family,Fantasy;nm0000165;producer,actor,writer;0;5;1
The Flash;55043679;4,234;50;Drama;nm0185714;director,writer,cinematographer;0;2;0
The Chronicles of Narnia: Prince Caspian;55034805;3,929;150;Action,Adventure,Family;nm0011470;producer,director,writer;1;2;0
How to Train Your Dragon: The Hidden World;55022245;4,259;104;Action,Adventure,Animation;nm0213450;writer,art_department,animation_department;0;2;0
Austin Powers: The Spy Who Shagged Me;54917604;3,312;95;Action,Adventure,Comedy;nm0005366;producer,director,writer;0;4;1
Rise of the Planet of the Apes;54806191;3,648;105;Action,Drama,Sci-Fi;nm1012501;producer,director,writer;0;1;0
The Hobbit: The Battle of the Five Armies;54724334;3,875;144;Adventure,Fantasy;nm0001392;producer,director,writer;1;6;1
G.I. Joe: The Rise of Cobra;54713046;4,007;118;Action,Adventure,Sci-Fi;nm0814085;producer,writer,director;1;4;1
Mission: Impossible - Dead Reckoning Part One;54688347;4,327;163;Action,Adventure,Thriller;nm0003160;writer,producer,director;1;3;1
Men in Black 3;54592779;4,248;106;Action,Adventure,Comedy;nm0001756;producer,director,cinematographer;0;5;1
San Andreas;54588173;3,777;114;Action,Adventure,Thriller;nm0679031;producer,writer,director;1;2;0
X-Men;54471475;3,025;104;Action,Adventure,Sci-Fi;nm0001741;producer,director,actor;0;7;1
Ted;54415205;3,239;85;Comedy;nm0253990;actor,director,writer;0;1;0
Pokémon: Detective Pikachu;54365242;4,202;104;Action,Adventure,Comedy;nm1224299;writer,director,producer;0;2;0
The Martian;54308575;3,831;144;Adventure,Drama,Sci-Fi;nm0000631;producer,director,production_designer;1;4;1
Night at the Museum: Battle of the Smithsonian;54173286;4,096;105;Adventure,Comedy,Family;nm0506613;producer,director,actor;0;5;1
Scooby-Doo;54155312;3,447;89;Adventure,Comedy,Family;nm0331532;editor,director,editorial_department;0;5;1
The Nun;53807379;3,876;140;Drama;nm0729626;director,writer,actor;1;1;0
Cars 3;53688680;4,256;102;Adventure,Animation,Comedy;nm0270263;art_department,animation_department,miscellaneous;0;1;0
Shazam!;53505326;4,217;132;Action,Adventure,Comedy;nm2497546;director,writer,actor;1;3;1
Green Lantern;53174303;3,816;114;Action,Adventure,Sci-Fi;nm0132709;director,producer,actor;1;3;1
The Lego Batman Movie;53003468;4,088;104;Action,Adventure,Animation;nm0003021;director,producer,editor;0;1;0
Batman Forever;52784433;2,842;121;Action,Adventure;nm0001708;director,writer,producer;1;2;0
Superman Returns;52535096;4,065;154;Action,Adventure,Sci-Fi;nm0001741;producer,director,actor;1;7;1
The Bourne Supremacy;52521865;3,165;108;Action,Mystery,Thriller;nm0339030;director,producer,writer;0;4;1
The Divergent Series: Insurgent;52263680;3,875;119;Action,Adventure,Sci-Fi;nm0777881;director,writer,soundtrack;1;4;1
I, Robot;52179887;3,420;115;Action,Mystery,Sci-Fi;nm0001639;director,producer,writer;1;2;0
Men in Black II;52148751;3,557;88;Action,Adventure,Comedy;nm0001756;producer,director,cinematographer;0;5;1
