name,openinggross,theathers
Ghostbusters: Afterlife,"$44,008,406","4,315"
Lucy,"$43,899,340","3,173"
How to Train Your Dragon,"$43,732,319","4,055"
Noah,"$43,720,472","3,567"
The Croods,"$43,639,736","4,046"
American Gangster,"$43,565,135","3,054"
The Mummy,"$43,369,635","3,210"
Hitch,"$43,142,214","3,575"
A Star Is Born,"$42,908,051","3,686"
Batman & Robin,"$42,872,605","2,934"
Terminator Salvation,"$42,558,390","3,530"
Hotel Transylvania,"$42,522,194","3,349"
Nutty Professor II: The Klumps,"$42,518,830","3,242"
Shrek,"$42,347,760","3,587"
Scary Movie,"$42,346,669","2,912"
Anger Management,"$42,220,847","3,551"
Fantastic Beasts: The Secrets of Dumbledore,"$42,151,256","4,208"
High School Musical 3: Senior Year,"$42,030,184","3,623"
The Conjuring,"$41,855,326","2,903"
Ready Player One,"$41,764,050","4,234"
Ice Age: Dawn of the Dinosaurs,"$41,690,382","4,099"
The Hangover Part III,"$41,671,198","3,555"
Ocean's Eight,"$41,607,378","4,145"
Big Daddy,"$41,536,370","3,027"
Happy Feet,"$41,533,432","3,804"
Ride Along,"$41,516,170","2,663"
Grown Ups 2,"$41,508,572","3,491"
The Perfect Storm,"$41,325,042","3,407"
Kung Fu Panda 3,"$41,282,042","3,955"
The Vow,"$41,202,458","2,958"
Deep Impact,"$41,152,375","3,156"
Once Upon a Time in Hollywood,"$41,082,018","3,659"
Shutter Island,"$41,062,440","2,991"
Twister,"$41,059,405","2,414"
Independence Day: Resurgence,"$41,039,944","4,130"
Madea Goes to Jail,"$41,030,947","2,032"
Dune,"$41,011,174","4,125"
Casino Royale,"$40,833,156","3,434"
Paranormal Activity 2,"$40,678,424","3,216"
Friday the 13th,"$40,570,365","3,105"
Grown Ups,"$40,506,562","3,534"
G.I. Joe: Retaliation,"$40,501,814","3,719"
Batman,"$40,489,746","2,194"
The Mummy: Tomb of the Dragon Emperor,"$40,457,770","3,760"
The Conjuring 2,"$40,406,314","3,343"
Glass,"$40,328,920","3,841"
The Last Airbender,"$40,325,019","3,169"
Daredevil,"$40,310,419","3,471"
Power Rangers,"$40,300,288","3,693"
Insidious: Chapter 2,"$40,272,103","3,049"
Scary Movie 4,"$40,222,875","3,602"
Safe House,"$40,172,720","3,119"
Charlie's Angels,"$40,128,550","3,037"
The Fast and the Furious,"$40,089,015","2,628"
Cloverfield,"$40,058,229","3,411"
Halloween Ends,"$40,050,355","3,901"
Chicken Little,"$40,049,778","3,654"
Click,"$40,011,365","3,749"
Split,"$40,010,975","3,038"
50 First Dates,"$39,852,237","3,591"
Wild Hogs,"$39,699,023","3,287"
Sherlock Holmes: A Game of Shadows,"$39,637,079","3,703"
The Waterboy,"$39,414,071","2,664"
Rio 2,"$39,327,869","3,948"
Rio,"$39,225,962","3,826"
Taken 3,"$39,201,657","3,594"
The Break-Up,"$39,172,785","3,070"
The Good Dinosaur,"$39,155,217","3,749"
Ocean's Twelve,"$39,153,380","3,290"
The Grudge,"$39,128,715","3,245"
Magic Mike,"$39,127,170","2,930"
Onward,"$39,119,861","4,310"
The Heat,"$39,115,043","3,181"
Kingsman: The Golden Circle,"$39,023,010","4,003"
Morbius,"$39,005,895","4,268"
Dinosaur,"$38,854,851","3,257"
Daddy's Home,"$38,740,203","3,271"
Get Smart,"$38,683,480","3,911"
Fifty Shades Freed,"$38,560,195","3,768"
You Don't Mess with the Zohan,"$38,531,374","3,462"
The Legend of Tarzan,"$38,527,856","3,561"
Over the Hedge,"$38,457,003","4,059"
The Cat in the Hat,"$38,329,160","3,464"
Alien vs. Predator,"$38,291,056","3,395"
The Angry Birds Movie,"$38,155,177","3,932"
The Bourne Legacy,"$38,142,825","3,745"
Ocean's Eleven,"$38,107,822","3,075"
Rango,"$38,079,323","3,917"
Inglourious Basterds,"$38,054,676","3,165"
Bee Movie,"$38,021,044","3,928"
Ace Ventura: When Nature Calls,"$37,804,076","2,652"
Charlie's Angels: Full Throttle,"$37,634,221","3,459"
Hop,"$37,543,710","3,579"
Gone Girl,"$37,513,109","3,014"
District 9,"$37,354,308","3,049"
Pacific Rim,"$37,285,325","3,275"
Dungeons & Dragons: Honor Among Thieves,"$37,205,784","3,855"
Mr. Deeds,"$37,162,787","3,231"
Annabelle,"$37,134,255","3,185"
Air Force One,"$37,132,505","2,919"
S.W.A.T.,"$37,062,535","3,202"
