"name","openinggross","theathers","tconst","titleType","originalTitle","isAdult","startYear","runtimeMinutes","genres","nconst","primaryName","primaryProfession","knownForTitles"
"A Christmas Carol","$30,051,075",3683,"tt0001544","short","A Christmas Carol",FALSE,1910,11,"Drama,Fantasy,Short","nm0205986,nm0448682,nm0587929",NA,NA,NA
"Men in Black: International","$30,035,838",4224,"tt10437244","tvEpisode","Men in Black: International",FALSE,2019,NA,"Talk-Show","\N",NA,NA,NA
"Madea's Family Reunion","$30,030,661",2194,"tt0359639","video","Madea's Family Reunion",FALSE,2002,134,"Comedy,Drama,Music","nm1347153,nm1347316",NA,NA,NA
"Bullet Train","$30,030,156",4357,"tt0080479","movie","Shinkansen daibakuha",FALSE,1975,152,"Action,Crime,Drama","nm0766220","Jun'ya Satô","director,writer,assistant_director","tt0095071,tt0080479,tt0451845,tt0204007"
"Scream","$30,018,805",3664,"tt0086262","movie","Scream",FALSE,1981,82,"Horror,Mystery","nm0704434","Byron Quisenberry","stunts,director,actor","tt0407581,tt0086262,tt0089907,tt0097889"
"Meg 2: The Trench","$30,002,735",3503,"tt9224104","movie","Meg 2: The Trench",FALSE,2023,116,"Action,Adventure,Horror","nm1296554","Ben Wheatley","director,writer,producer","tt4158096,tt2023690,tt1788391,tt0462335"
"The Purge: Anarchy","$29,816,675",2805,"tt2975578","movie","The Purge: Anarchy",FALSE,2014,103,"Action,Horror,Sci-Fi","nm0218621","James DeMonaco","writer,producer,director","tt2184339,tt4094724,tt2975578,tt6133466"
"Elysium","$29,807,393",3284,"tt0091005","movie","Elysium",FALSE,1987,118,"Drama,War","nm0844438","Erika Szántó","script_department,writer,director","tt2900816,tt0095476,tt0388563,tt0091005"
"Hercules","$29,800,263",3595,"tt0050381","movie","Le fatiche di Ercole",FALSE,1958,104,"Adventure,Fantasy,History","nm0290371","Pietro Francisci","director,writer,editor","tt0038645,tt0025496,tt0058859,tt0054263"
"Constantine","$29,769,098",3006,"tt0360486","movie","Constantine",FALSE,2005,121,"Action,Fantasy,Horror","nm1349376","Francis Lawrence","director,producer,camera_department","tt0480249,tt1951264,tt0360486,tt1951265"
"What Lies Beneath","$29,702,959",2813,"tt0161081","movie","What Lies Beneath",FALSE,2000,130,"Drama,Horror,Mystery","nm0000709","Robert Zemeckis","producer,writer,director","tt0118884,tt0109830,tt0088763,tt1907668"
"The Flintstones","$29,688,730",2498,"tt0053502","tvSeries","The Flintstones",FALSE,1960,26,"Adventure,Animation,Comedy","nm0053484,nm0360253",NA,NA,NA
"Dark Shadows","$29,685,274",3755,"tt0036744","short","Dark Shadows",FALSE,1944,21,"Crime,Drama,Short","nm0366578,nm0122483",NA,NA,NA
"Daddy's Home 2","$29,651,193",3575,"tt14091938","tvEpisode","Daddy's Home 2",FALSE,NA,NA,"Talk-Show","\N",NA,NA,NA
"Creed","$29,632,823",3404,"tt0487084","short","Creed",FALSE,2005,1,"Short","nm2035118","Babak Anvari","producer,director,writer","tt4273292,tt1701187,tt5913798,tt15083184"
"Elemental","$29,602,429",4035,"tt11590642","short","Elemental",FALSE,2020,5,"Mystery,Short,Thriller","nm7474584","Sam Windell","camera_department,cinematographer,director","tt4779344,tt7252222,tt7747904,tt11590642"
"Insidious: The Last Key","$29,581,355",3116,"tt5726086","movie","Insidious: The Last Key",FALSE,2018,103,"Horror,Mystery,Thriller","nm0733263","Adam Robitel","director,actor,writer","tt5886046,tt9844522,tt5726086,tt3387648"
"Justin Bieber: Never Say Never","$29,514,054",3105,"tt1702443","movie","Justin Bieber: Never Say Never",FALSE,2011,105,"Documentary,Music","nm0160840","Jon M. Chu","producer,writer,director","tt1023481,tt1583421,tt1702443,tt3110958"
"Ghostbusters II","$29,472,894",2410,"tt0097428","movie","Ghostbusters II",FALSE,1989,108,"Action,Comedy,Fantasy","nm0718645","Ivan Reitman","producer,miscellaneous,director","tt0087332,tt0105477,tt0082509,tt1193138"
"Scooby-Doo 2: Monsters Unleashed","$29,438,331",3312,"tt0331632","movie","Scooby-Doo 2: Monsters Unleashed",FALSE,2004,93,"Adventure,Comedy,Family","nm0331532","Raja Gosnell","editor,director,editorial_department","tt0331632,tt0267913,tt0151738,tt0208003"
"Indiana Jones and the Last Crusade","$29,355,021",2327,"tt0097576","movie","Indiana Jones and the Last Crusade",FALSE,1989,127,"Action,Adventure","nm0000229","Steven Spielberg","producer,writer,director","tt0108052,tt0082971,tt0083866,tt0120815"
"A.I. Artificial Intelligence","$29,352,630",3242,"tt0212720","movie","A.I. Artificial Intelligence",FALSE,2001,146,"Drama,Sci-Fi","nm0000229","Steven Spielberg","producer,writer,director","tt0108052,tt0082971,tt0083866,tt0120815"
"Now You See Me","$29,350,389",2925,"tt0503688","tvEpisode","Now You See Me",FALSE,1996,60,"Comedy,Drama,Family","nm0481775","Harvey S. Laidman","director,assistant_director,production_manager","tt0096684,tt0088618,tt0077031,tt0083437"
"Beverly Hills Chihuahua","$29,300,465",3215,"tt1014775","movie","Beverly Hills Chihuahua",FALSE,2008,91,"Adventure,Comedy,Drama","nm0331532","Raja Gosnell","editor,director,editorial_department","tt0331632,tt0267913,tt0151738,tt0208003"
"Why Did I Get Married Too?","$29,289,537",2155,"tt1391137","movie","Why Did I Get Married Too?",FALSE,2010,121,"Comedy,Drama,Romance","nm1347153","Tyler Perry","writer,director,producer","tt0422093,tt0455612,tt2267998,tt1142800"
"Think Like a Man Too","$29,241,911",2225,"tt2239832","movie","Think Like a Man Too",FALSE,2014,106,"Comedy,Romance","nm1103162","Tim Story","director,producer,actor","tt0316732,tt0120667,tt1621045,tt0303714"
"The Muppets","$29,239,026",3440,"tt1204342","movie","The Muppets",FALSE,2011,120,"Adventure,Comedy,Family","nm0090386","James Bobin","writer,director,producer","tt7547410,tt1204342,tt0863046,tt2281587"
"The Lone Ranger","$29,210,849",3904,"tt0030382","movie","The Lone Ranger",FALSE,1938,264,"Western","nm0257638,nm0936823",NA,NA,NA
"Eagle Eye","$29,150,721",3510,"tt1059786","movie","Eagle Eye",FALSE,2008,118,"Action,Mystery,Thriller","nm0142286","D.J. Caruso","director,producer,writer","tt1059786,tt0107843,tt1293847,tt1464540"
"Toy Story","$29,140,617",2457,"tt0114709","movie","Toy Story",FALSE,1995,81,"Adventure,Animation,Comedy","nm0005124","John Lasseter","producer,writer,director","tt0114709,tt0120363,tt0120623,tt0317219"
"The Texas Chainsaw Massacre","$29,100,000",3016,"tt0296891","videoGame","The Texas Chainsaw Massacre",FALSE,1983,NA,"Action,Horror","\N",NA,NA,NA
"Spy","$29,085,719",3711,"tt0024636","movie","Szpieg w masce",FALSE,1933,77,"Drama,Musical,Romance","nm0470463","Mieczyslaw Krawicz","director,production_manager,writer","tt0949549,tt0024636,tt1035457,tt0027813"
"Terminator: Dark Fate","$29,033,832",4086,"tt11197458","tvEpisode","Terminator: Dark Fate",FALSE,2019,NA,"Talk-Show","\N",NA,NA,NA
"Allegiant","$29,027,348",3740,"tt11358326","tvEpisode","Allegiant",FALSE,2015,NA,"Animation,Comedy,Family","nm2088529","Dane Boedigheimer","actor,writer,director","tt11225340,tt21295222,tt1715368,tt2114184"
"Doctor Dolittle","$29,014,324",2777,"tt0061584","movie","Doctor Dolittle",FALSE,1967,152,"Adventure,Comedy,Family","nm0281507","Richard Fleischer","director,producer,writer","tt0089893,tt0052365,tt0046672,tt0070723"
"The Santa Clause 2","$29,008,696",3350,"tt0304669","movie","The Santa Clause 2",FALSE,2002,104,"Comedy,Family,Fantasy","nm0501185","Michael Lembeck","director,actor,soundtrack","tt0074014,tt0108778,tt0079336,tt0808510"
"Paranormal Activity 4","$29,003,866",3412,"tt2109184","movie","Paranormal Activity 4",FALSE,2012,88,"Horror,Mystery","nm1160962,nm1413364",NA,NA,NA
"Jackass Number Two","$29,002,002",3059,"tt0493430","movie","Jackass Number Two",FALSE,2006,92,"Action,Comedy,Documentary","nm0871860","Jeff Tremaine","writer,producer,director","tt3063516,tt0800325,tt1116184,tt9684220"
"Inside Man","$28,954,945",2818,"tt0454848","movie","Inside Man",FALSE,2006,129,"Crime,Drama,Mystery","nm0000490","Spike Lee","director,producer,writer","tt0097216,tt9777644,tt0104797,tt0091939"
"Cast Away","$28,883,406",2774,"tt0162222","movie","Cast Away",FALSE,2000,143,"Adventure,Drama,Romance","nm0000709","Robert Zemeckis","producer,writer,director","tt0118884,tt0109830,tt0088763,tt1907668"
"Non-Stop","$28,875,635",3090,"tt0116015","movie","Dangan ranna",FALSE,1996,82,"Action,Comedy,Crime","nm0848992","Sabu","director,writer,actor","tt2542616,tt3560464,tt0239655,tt0358559"
"Miss Peregrine's Home for Peculiar Children","$28,871,140",3522,"tt13459466","tvEpisode","Miss Peregrine's Home for Peculiar Children",FALSE,2020,15,"Comedy,Documentary,Mystery","\N",NA,NA,NA
"Edge of Tomorrow","$28,760,246",3490,"tt13593826","tvEpisode","Edge of Tomorrow",FALSE,2015,NA,"Documentary,Short","nm4702688","Elisa Daniels","director,producer,editorial_department","tt13562802,tt6889560,tt13525358,tt13569372"
"Murder on the Orient Express","$28,681,472",3341,"tt0071877","movie","Murder on the Orient Express",FALSE,1974,128,"Crime,Drama,Mystery","nm0001486","Sidney Lumet","director,producer,writer","tt0072890,tt0050083,tt0070666,tt0292963"
"Titanic","$28,638,131",2674,"tt0036443","movie","Titanic",FALSE,1943,85,"Action,Drama,History","nm0783509,nm0459801",NA,NA,NA
"Meet the Parents","$28,623,300",2614,"tt0104844","movie","Meet the Parents",FALSE,1992,75,"Comedy","nm0322839","Greg Glienna","writer,director,actor","tt0970866,tt0212338,tt18831124,tt0104844"
"Obsessed","$28,612,730",2514,"tt0043726","movie","The Late Edwina Black",FALSE,1951,78,"Crime,Drama,Mystery","nm0002061","Maurice Elvey","director,producer,writer","tt0325379,tt0325470,tt0017998,tt0023145"
"The Expendables 2","$28,591,370",3316,"tt1764651","movie","The Expendables 2",FALSE,2012,103,"Action,Adventure,Thriller","nm0922346","Simon West","director,producer,actor","tt0118880,tt0144214,tt0146316,tt0472399"
"Alita: Battle Angel","$28,525,613",3790,"tt0437086","movie","Alita: Battle Angel",FALSE,2019,122,"Action,Adventure,Sci-Fi","nm0001675","Robert Rodriguez","producer,writer,director","tt0462322,tt0401792,tt0287717,tt0104815"
"Boo! A Madea Halloween","$28,501,448",2260,"tt5325452","movie","Boo! A Madea Halloween",FALSE,2016,103,"Comedy,Drama,Horror","nm1347153","Tyler Perry","writer,director,producer","tt0422093,tt0455612,tt2267998,tt1142800"
"Anchorman: The Legend of Ron Burgundy","$28,416,365",3091,"tt0357413","movie","Anchorman: The Legend of Ron Burgundy",FALSE,2004,94,"Comedy","nm0570912","Adam McKay","producer,writer,director","tt1596363,tt11286314,tt1386588,tt6266538"
"Mama","$28,402,310",2647,"tt0041039","tvSeries","Mama",FALSE,1949,30,"Comedy,Drama,Family","nm0625680,nm0724504,nm0001486,nm0567170,nm0343431",NA,NA,NA
"Free Guy","$28,365,416",4165,"tt15254252","tvEpisode","Free Guy",FALSE,2021,7,"Comedy,Talk-Show","\N",NA,NA,NA
"Nacho Libre","$28,309,599",3070,"tt0457510","movie","Nacho Libre",FALSE,2006,92,"Comedy,Family,Sport","nm0381478","Jared Hess","producer,director,writer","tt0457510,tt2461150,tt0374900,tt1161418"
"Horrible Bosses","$28,302,165",3040,"tt12177972","tvEpisode","Horrible Bosses",FALSE,2019,NA,"Comedy","nm5055598","Joanna Beveridge","producer,director,writer","tt12152602,tt10457298,tt9164246,tt10434294"
"The Invisible Man","$28,205,665",3610,"tt0024184","movie","The Invisible Man",FALSE,1933,71,"Horror,Sci-Fi","nm0001843","James Whale","director,miscellaneous,art_director","tt0021884,tt0028249,tt0024184,tt0026138"
"Erin Brockovich","$28,138,465",2848,"tt0195685","movie","Erin Brockovich",FALSE,2000,131,"Biography,Drama","nm0001752","Steven Soderbergh","producer,director,cinematographer","tt0195685,tt1291580,tt0098724,tt0181865"
"Pacific Rim: Uprising","$28,116,535",3708,"tt2557478","movie","Pacific Rim: Uprising",FALSE,2018,111,"Action,Adventure,Fantasy","nm0215299","Steven S. DeKnight","producer,writer,director","tt3322312,tt0162065,tt5774002,tt2557478"
"Starsky & Hutch","$28,103,367",3185,"tt0335438","movie","Starsky & Hutch",FALSE,2004,101,"Comedy,Crime","nm0680846","Todd Phillips","producer,director,writer","tt1231583,tt0302886,tt7286456,tt0215129"
"Sin City","$28,100,000",3230,"tt0183789","movie","Sin City",TRUE,1986,NA,"Adult","nm0893811","Joe Verdi","director,cinematographer","tt0091764,tt0136044,tt0183789,tt0136095"
"Teenage Mutant Ninja Turtles: Mutant Mayhem","$28,007,544",3858,"tt28691945","tvEpisode","Teenage Mutant Ninja Turtles: Mutant Mayhem",FALSE,2023,NA,"Talk-Show","\N",NA,NA,NA
"Back to the Future Part II","$27,835,125",1865,"tt0096874","movie","Back to the Future Part II",FALSE,1989,108,"Adventure,Comedy,Sci-Fi","nm0000709","Robert Zemeckis","producer,writer,director","tt0118884,tt0109830,tt0088763,tt1907668"
"Hairspray","$27,800,000",3121,"tt0095270","movie","Hairspray",FALSE,1988,92,"Comedy,Drama,Family","nm0000691","John Waters","actor,writer,director","tt0387575,tt0069089,tt0126604,tt0095270"
"The Matrix","$27,788,331",2849,"tt0133093","movie","The Matrix",FALSE,1999,136,"Action,Sci-Fi","nm0905154,nm0905152",NA,NA,NA
"He's Just Not That Into You","$27,785,487",3175,"tt1001508","movie","He's Just Not That Into You",FALSE,2009,129,"Comedy,Drama,Romance","nm0477129","Ken Kwapis","director,producer,writer","tt4947608,tt1430615,tt1178665,tt3095080"
"Mamma Mia!","$27,751,240",2976,"tt0795421","movie","Mamma Mia!",FALSE,2008,108,"Comedy,Musical,Romance","nm1630273","Phyllida Lloyd","director,miscellaneous,producer","tt6911608,tt0795421,tt1007029,tt9902160"
"Big Momma's House 2","$27,736,056",3261,"tt0421729","movie","Big Momma's House 2",FALSE,2006,99,"Comedy,Crime","nm0925870","John Whitesell","director,producer,miscellaneous","tt0044265,tt0790604,tt1464174,tt9866072"
"Jarhead","$27,726,210",2411,"tt0418763","movie","Jarhead",FALSE,2005,125,"Biography,Drama,War","nm0005222","Sam Mendes","producer,director,miscellaneous","tt1074638,tt8579674,tt0959337,tt0257044"
"Along Came Polly","$27,721,185",2984,"tt0343135","movie","Along Came Polly",FALSE,2004,90,"Comedy,Romance","nm0357453","John Hamburg","producer,director,writer","tt14309446,tt4501244,tt0970866,tt1155056"
"Wild Wild West","$27,687,484",3342,"tt0120891","movie","Wild Wild West",FALSE,1999,106,"Action,Comedy,Sci-Fi","nm0001756","Barry Sonnenfeld","producer,director,cinematographer","tt0119654,tt1409024,tt0120891,tt0106220"
"Daddy Day Care","$27,623,580",3370,"tt0317303","movie","Daddy Day Care",FALSE,2003,92,"Comedy,Family","nm0139867","Steve Carr","director,producer","tt1333125,tt0317303,tt0195945,tt1114740"
"The Ugly Truth","$27,605,576",2882,"tt0520665","tvEpisode","The Ugly Truth",FALSE,2001,NA,"Comedy","nm0009953","Andy Ackerman","director,producer,editor","tt0098904,tt0462128,tt0077097,tt0083399"
"Cheaper by the Dozen","$27,557,647",3298,"tt0042327","movie","Cheaper by the Dozen",FALSE,1950,86,"Comedy,Drama,Family","nm0485943","Walter Lang","director,writer,miscellaneous","tt0049408,tt0045592,tt0053690,tt0019211"
"Wonder","$27,547,866",3096,"tt0289627","short","Wonder",FALSE,2001,31,"Drama,Romance,Short","nm0211524","Manuel De Seixas Correa","producer,miscellaneous,writer","tt0289627,tt0339507,tt0279445,tt1093357"
"The Devil Wears Prada","$27,537,244",2847,"tt0458352","movie","The Devil Wears Prada",FALSE,2006,109,"Comedy,Drama","nm0291205","David Frankel","production_manager,producer,director","tt0458352,tt0185906,tt1196956,tt0096566"
"Space Jam","$27,528,529",2650,"tt0117705","movie","Space Jam",FALSE,1996,88,"Adventure,Animation,Comedy","nm0701592","Joe Pytka","director,cinematographer,editor","tt14513574,tt13602104,tt0097731,tt0117705"
"After Earth","$27,520,040",3401,"tt13173908","tvEpisode","After Earth",FALSE,2020,NA,"Comedy","\N",NA,NA,NA
"Beowulf","$27,515,871",3153,"tt0120604","movie","Beowulf",FALSE,1999,95,"Action,Adventure,Fantasy","nm0048491","Graham Baker","director,writer,producer","tt0215925,tt0087464,tt0094631,tt0120604"
"42","$27,487,144",3003,"tt0453562","movie","42",FALSE,2013,128,"Biography,Drama,Sport","nm0001338","Brian Helgeland","writer,director,script_department","tt7991508,tt0183790,tt0453562,tt3569230"
"Bedtime Stories","$27,450,296",3681,"tt0132708","video","Bedtime Stories",TRUE,1989,NA,"Adult","nm0511107","Fred J. Lincoln","director,editor,actor","tt0144456,tt0183880,tt0189874,tt0068833"
"The Final Destination","$27,408,309",3121,"tt10602706","tvEpisode","The Final Destination",FALSE,2016,12,"Sport","\N",NA,NA,NA
"Jumper","$27,354,808",3428,"tt0173946","video","Jumper",TRUE,1991,80,"Adult,Romance","nm0479001","Chi Chi LaRue","director,actor,writer","tt1155762,tt1095090,tt0492403,tt0284080"
"Journey 2: The Mysterious Island","$27,335,363",3470,"tt1397514","movie","Journey 2: The Mysterious Island",FALSE,2012,94,"Action,Adventure,Comedy","nm0679031","Brad Peyton","producer,writer,director","tt2231461,tt2126355,tt8755226,tt7130298"
"The Rugrats Movie","$27,321,470",2782,"tt0134067","movie","The Rugrats Movie",FALSE,1998,79,"Adventure,Animation,Comedy","nm0468335,nm0899329",NA,NA,NA
"Real Steel","$27,319,677",3440,"tt0433035","movie","Real Steel",FALSE,2011,127,"Action,Drama,Sci-Fi","nm0506613","Shawn Levy","producer,director,actor","tt2543164,tt6264654,tt2463208,tt1714206"
"Les Misérables","$27,281,735",2814,"tt0000969","short","Les Misérables",FALSE,1909,44,"Drama,History,Short","nm0085865","J. Stuart Blackton","director,producer,miscellaneous","tt0010481,tt0013182,tt0008153,tt0010054"
"Night School","$27,257,615",3010,"tt0049551","short","Yakan chûgaku",FALSE,1956,44,"Drama,Short","nm0393094","Ishirô Honda","director,writer,assistant_director","tt0047034,tt0120685,tt0089881,tt0831387"
"Encanto","$27,206,494",3980,"tt14302066","short","Encanto",FALSE,2007,17,"Documentary,Short","nm4851545","Julia De Simone","director,writer,producer","tt6419520,tt3475176,tt14298350,tt27911705"
"Jack the Giant Slayer","$27,202,226",3525,"tt10087326","tvEpisode","Jack the Giant Slayer",FALSE,2011,NA,"Drama,Short","\N",NA,NA,NA
"The Bourne Identity","$27,118,640",2638,"tt0094791","tvMiniSeries","The Bourne Identity",FALSE,1988,185,"Action,Adventure,Drama","nm0002726","Roger Young","director,producer,writer","tt0094021,tt0100209,tt0087589,tt0075528"
"A Madea Family Funeral","$27,062,332",2442,"tt7054636","movie","A Madea Family Funeral",FALSE,2019,109,"Comedy,Drama","nm1347153","Tyler Perry","writer,director,producer","tt0422093,tt0455612,tt2267998,tt1142800"
"2 Guns","$27,059,130",3025,"tt1272878","movie","2 Guns",FALSE,2013,109,"Action,Comedy,Thriller","nm0466349","Baltasar Kormákur","producer,writer,director","tt0332381,tt0805576,tt1272878,tt3561180"
"Terminator Genisys","$27,018,486",3758,"tt1340138","movie","Terminator Genisys",FALSE,2015,126,"Action,Adventure,Sci-Fi","nm0851930","Alan Taylor","director,producer,writer","tt0944947,tt1340138,tt1981115,tt0282768"
"Ender's Game","$27,017,351",3407,"tt1731141","movie","Ender's Game",FALSE,2013,114,"Action,Adventure,Sci-Fi","nm0004303","Gavin Hood","actor,director,producer","tt2057392,tt5431890,tt0468565,tt0178860"
"The Departed","$26,887,467",3017,"tt0174126","short","Polaznik",FALSE,1973,17,"Documentary,Short","nm0631915","Zivko Nikolic","director,writer,actor","tt0173674,tt0173750,tt0174008,tt0173881"
"Alice Through the Looking Glass","$26,858,726",3763,"tt0060088","tvMovie","Alice Through the Looking Glass",FALSE,1966,72,"Family,Fantasy,Musical","nm0359589","Alan Handley","director,producer,writer","tt0194613,tt0050012,tt0061245,tt0052456"
"Underworld: Evolution","$26,857,181",3207,"tt0401855","movie","Underworld: Evolution",FALSE,2006,106,"Action,Fantasy,Thriller","nm0936482","Len Wiseman","producer,writer,director","tt0320691,tt0401855,tt1386703,tt1496025"
"The Curious Case of Benjamin Button","$26,853,816",2988,"tt0421715","movie","The Curious Case of Benjamin Button",FALSE,2008,166,"Drama,Fantasy,Romance","nm0000399","David Fincher","producer,director,writer","tt0443706,tt2267998,tt1285016,tt0114369"
"Zombieland: Double Tap","$26,803,104",3468,"tt11082738","tvEpisode","Zombieland: Double Tap",FALSE,2019,NA,"Talk-Show","\N",NA,NA,NA
"Knives Out","$26,769,548",3461,"tt11321474","tvEpisode","Knives Out",FALSE,2019,NA,"Talk-Show","\N",NA,NA,NA
"Flubber","$26,725,207",2641,"tt0119137","movie","Flubber",FALSE,1997,93,"Comedy,Family,Sci-Fi","nm0562645","Les Mayfield","producer,director,camera_department","tt0399327,tt0181316,tt0119137,tt0104187"
"Dawn of the Dead","$26,722,575",2745,"tt0077402","movie","Dawn of the Dead",FALSE,1978,127,"Horror,Thriller","nm0001681","George A. Romero","producer,writer,director","tt0095652,tt0418819,tt0848557,tt0063350"
"The Sixth Sense","$26,681,262",2161,"tt0020389","movie","El sexto sentido",FALSE,1929,70,"Drama","nm0273203,nm0811914",NA,NA,NA
"Resident Evil: Afterlife","$26,650,264",3203,"tt1220634","movie","Resident Evil: Afterlife",FALSE,2010,96,"Action,Horror,Sci-Fi","nm0027271","Paul W.S. Anderson","writer,producer,director","tt1509767,tt0119081,tt0318627,tt0113855"
"The House with a Clock in Its Walls","$26,608,020",3592,"tt2119543","movie","The House with a Clock in Its Walls",FALSE,2018,105,"Comedy,Family,Fantasy","nm0744834","Eli Roth","producer,actor,writer","tt0303816,tt0462322,tt0361748,tt0450278"
"The Campaign","$26,588,460",3205,"tt0115812","tvMovie","The Campaign",FALSE,1996,110,"Documentary","nm0162274","Santo Cilauro","producer,writer,actor","tt3163562,tt0108780,tt0205873,tt1242819"
"Spy Kids","$26,546,881",3104,"tt0227538","movie","Spy Kids",FALSE,2001,88,"Action,Adventure,Comedy","nm0001675","Robert Rodriguez","producer,writer,director","tt0462322,tt0401792,tt0287717,tt0104815"
"The Pursuit of Happyness","$26,541,709",2852,"tt0454921","movie","The Pursuit of Happyness",FALSE,2006,117,"Biography,Drama","nm0610831","Gabriele Muccino","director,writer,producer","tt0265930,tt2582502,tt0454921,tt0814314"
"Crazy Rich Asians","$26,510,140",3384,"tt11023492","tvEpisode","Crazy Rich Asians",FALSE,2018,NA,"Comedy","\N",NA,NA,NA
"Borat","$26,455,463",837,"tt0443453","movie","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan",FALSE,2006,84,"Comedy","nm0153078","Larry Charles","producer,writer,director","tt0098904,tt0264235,tt0889583,tt1645170"
"All Eyez on Me","$26,435,354",2471,"tt10324410","tvEpisode","All Eyez on Me",FALSE,2019,44,"Documentary","nm4474804","Stan Griffin","director,writer,producer","tt3141172,tt14057360,tt8163424,tt11624842"
"We're the Millers","$26,419,396",3260,"tt1723121","movie","We're the Millers",FALSE,2013,110,"Comedy,Crime","nm1098493","Rawson Marshall Thurber","director,producer,writer","tt7991608,tt1282140,tt5758778,tt0364725"
"Hollow Man","$26,414,386",2956,"tt0164052","movie","Hollow Man",FALSE,2000,112,"Action,Horror,Sci-Fi","nm0000682","Paul Verhoeven","director,producer,writer","tt3716530,tt0093870,tt0164052,tt0389557"
"Don't Breathe","$26,411,706",3051,"tt3958034","movie","Don't Breathe",FALSE,2014,86,"Documentary","nm0457038","Nino Kirtadze","actress,director,writer","tt0401711,tt1634131,tt0433676,tt1157635"
"Beverly Hills Cop II","$26,348,555",2326,"tt0092644","movie","Beverly Hills Cop II",FALSE,1987,100,"Action,Comedy,Crime","nm0001716","Tony Scott","producer,director,actor","tt0421054,tt0477080,tt0116277,tt0108399"
"The Curse of La Llorona","$26,347,631",3372,"tt10208532","tvEpisode","The Curse of La Llorona",FALSE,2019,8,"Comedy,Talk-Show","nm5741914","Chris Stuckmann","writer,producer,editor","tt6098952,tt8693992,tt14999684,tt6097360"
"Bridesmaids","$26,247,410",2918,"tt0096980","tvMovie","Bridesmaids",FALSE,1989,120,"Comedy,Drama","nm0308163","Lila Garrett","writer,producer,director","tt0076982,tt0058805,tt0086060,tt0312084"
"Anchorman 2: The Legend Continues","$26,232,425",3507,"tt1229340","movie","Anchorman 2: The Legend Continues",FALSE,2013,119,"Comedy","nm0570912","Adam McKay","producer,writer,director","tt1596363,tt11286314,tt1386588,tt6266538"
"Bolt","$26,223,128",3651,"tt0109314","video","Bolt",FALSE,1995,NA,"Action,Crime,Drama","nm1062096,nm0578899",NA,NA,NA
"The Suicide Squad","$26,205,415",4002,"tt15165590","tvEpisode","The Suicide Squad",FALSE,2021,NA,"Talk-Show","\N",NA,NA,NA
"GoldenEye","$26,205,007",2667,"tt0113189","movie","GoldenEye",FALSE,1995,130,"Action,Adventure,Thriller","nm0132709","Martin Campbell","director,producer,actor","tt0190865,tt1226273,tt0381061,tt0113189"
"The Golden Compass","$26,125,000",3528,"tt0385752","movie","The Golden Compass",FALSE,2007,113,"Adventure,Family,Fantasy","nm0919363","Chris Weitz","producer,writer,director","tt0276751,tt0356910,tt0385752,tt3748528"
"The Help","$26,044,590",2534,"tt0364816","tvSeries","The Help",FALSE,2004,30,"Comedy","nm0169394,nm0495399",NA,NA,NA
"Happy Death Day","$26,039,025",3149,"tt0509492","tvEpisode","Happy Death Day",FALSE,1998,44,"Drama","nm0113663","Grant Brown","director,assistant_director,miscellaneous","tt0108709,tt1258216,tt0219457,tt0307803"
"The Perfect Guy","$25,888,154",2221,"tt0582545","tvEpisode","The Perfect Guy",FALSE,1998,22,"Comedy","nm0578162","Jeff Melman","director,producer,assistant_director","tt1439629,tt0212671,tt0086770,tt0413573"
