"name","openinggross","theathers","tconst","titleType","originalTitle","isAdult","startYear","runtimeMinutes","genres","nconst","primaryName","primaryProfession","knownForTitles"
"Get Out","$33,377,060",2781,"tt0398474","tvSeries","Get Out",FALSE,2003,22,"Documentary","nm1073522,nm1079045,nm1547029,nm1320154,nm1319795",NA,NA,NA
"Live Free or Die Hard","$33,369,559",3408,"tt0337978","movie","Live Free or Die Hard",FALSE,2007,128,"Action,Thriller","nm0936482","Len Wiseman","producer,writer,director","tt0320691,tt0401855,tt1386703,tt1496025"
"American Wedding","$33,369,440",3172,"tt0328828","movie","American Wedding",FALSE,2003,96,"Comedy","nm0245888","Jesse Dylan","director,producer,writer","tt0328828,tt0278488,tt0384642"
"Lethal Weapon 3","$33,243,086",2510,"tt0104714","movie","Lethal Weapon 3",FALSE,1992,118,"Action,Crime,Thriller","nm0001149","Richard Donner","director,producer,actor","tt0089457,tt0839995,tt0093409,tt0078346"
"Hustlers","$33,181,361",3250,"tt10950330","tvEpisode","Hustlers",FALSE,2019,6,"Comedy,Talk-Show","nm5741914","Chris Stuckmann","writer,producer,editor","tt6098952,tt8693992,tt14999684,tt6097360"
"A Wrinkle in Time","$33,123,609",3980,"tt0290382","tvMovie","A Wrinkle in Time",FALSE,2003,251,"Adventure,Family,Fantasy","nm0006867","John Kent Harrison","director,writer,producer","tt1010278,tt4820224,tt0120498,tt0475999"
"Superbad","$33,052,411",2948,"tt0829482","movie","Superbad",FALSE,2007,113,"Comedy","nm0609549","Greg Mottola","producer,director,writer","tt0829482,tt1091722,tt0116041,tt1082583"
"Tomorrowland","$33,028,165",3972,"tt0540794","tvEpisode","Tomorrowland",FALSE,2001,NA,"Comedy,Music","nm0003557","Richard J. Lewis","producer,director,writer","tt1423894,tt0247082,tt0475784,tt0111687"
"Blades of Glory","$33,014,202",3372,"tt0445934","movie","Blades of Glory",FALSE,2007,93,"Comedy,Sport","nm0330347,nm0817447",NA,NA,NA
"Insidious: The Red Door","$33,013,036",3188,"tt13405778","movie","Insidious: The Red Door",FALSE,2023,107,"Horror,Mystery,Thriller","nm0933940","Patrick Wilson","actor,soundtrack,producer","tt0293508,tt0424136,tt1591095,tt0409459"
"Birds of Prey","$33,010,017",4236,"tt0017675","movie","Birds of Prey",FALSE,1927,56,"Crime,Drama,Romance","nm0185714","William James Craft","director,writer,cinematographer","tt0020058,tt0015732,tt0017278,tt0158136"
"Rush Hour","$33,001,803",2638,"tt0120812","movie","Rush Hour",FALSE,1998,98,"Action,Comedy,Crime","nm0711840","Brett Ratner","producer,director,music_department","tt0120812,tt0376994,tt1267297,tt0289765"
"Scream 2","$32,926,342",2663,"tt0120082","movie","Scream 2",FALSE,1997,120,"Horror,Mystery","nm0000127","Wes Craven","writer,producer,director","tt0117571,tt0105121,tt0087800,tt0111686"
"A Nightmare on Elm Street","$32,902,299",3332,"tt0087800","movie","A Nightmare on Elm Street",FALSE,1984,91,"Horror","nm0000127","Wes Craven","writer,producer,director","tt0117571,tt0105121,tt0087800,tt0111686"
"Dark Phoenix","$32,828,348",3721,"tt10417618","tvEpisode","Dark Phoenix",FALSE,2019,NA,"Talk-Show","\N",NA,NA,NA
"The Book of Eli","$32,789,494",3111,"tt1037705","movie","The Book of Eli",FALSE,2010,118,"Action,Adventure,Drama","nm0400436,nm0400441",NA,NA,NA
"Blade Runner 2049","$32,753,122",4058,"tt12038118","tvEpisode","Blade Runner 2049",FALSE,2020,NA,"Comedy","\N",NA,NA,NA
"Where the Wild Things Are","$32,695,407",3735,"tt0386117","movie","Where the Wild Things Are",FALSE,2009,101,"Adventure,Drama,Family","nm0005069","Spike Jonze","producer,writer,director","tt0120188,tt0120601,tt0386117,tt1798709"
"Due Date","$32,689,406",3355,"tt10050272","short","Due Date",FALSE,2018,7,"Drama,Short","nm7364971","Niuyue Kay Zhang","producer,camera_department,director","tt15251108,tt13562996,tt10245300,tt10050272"
"The Nun II","$32,603,336",3728,"tt10160976","movie","The Nun II",FALSE,2023,110,"Horror,Mystery,Thriller","nm1980431","Michael Chaves","director,writer,visual_effects","tt7069210,tt4913966,tt5192436,tt5282528"
"Blade II","$32,528,016",2707,"tt0187738","movie","Blade II",FALSE,2002,117,"Action,Horror,Sci-Fi","nm0868219","Guillermo del Toro","writer,producer,director","tt1488589,tt5580390,tt0167190,tt0457430"
"The Maze Runner","$32,512,804",3604,"tt1790864","movie","The Maze Runner",FALSE,2014,113,"Action,Mystery,Sci-Fi","nm1226871","Wes Ball","art_department,director,visual_effects","tt4500922,tt4046784,tt1790864,tt1532503"
"Spy Kids 3: Game Over","$32,500,000",3344,"tt0338459","movie","Spy Kids 3: Game Over",FALSE,2003,84,"Action,Adventure,Comedy","nm0001675","Robert Rodriguez","producer,writer,director","tt0462322,tt0401792,tt0287717,tt0104815"
"Hannah Montana: The Movie","$32,324,487",3118,"tt10884622","tvEpisode","Hannah Montana: The Movie",FALSE,2014,NA,"Comedy","\N",NA,NA,NA
