"name","openinggross","theathers","tconst","titleType","primaryTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"Venom: Let There Be Carnage","$90,033,210",4225,"tt15559910","tvEpisode","Venom: Let There Be Carnage",FALSE,2021,NA,NA,"Comedy"
"Logan","$88,411,916",4071,"tt10172850","tvEpisode","Logan",FALSE,2019,NA,NA,"Comedy"
"Skyfall","$88,364,714",3505,"tt1074638","movie","Skyfall",FALSE,2012,NA,143,"Action,Adventure,Thriller"
"Harry Potter and the Chamber of Secrets","$88,357,488",3682,"tt0295297","movie","Harry Potter and the Chamber of Secrets",FALSE,2002,NA,161,"Adventure,Family,Fantasy"
"Spider-Man 2","$88,156,227",4152,"tt0316654","movie","Spider-Man 2",FALSE,2004,NA,127,"Action,Adventure,Sci-Fi"
"Fast Five","$86,198,765",3644,"tt1596343","movie","Fast Five",FALSE,2011,NA,130,"Action,Crime,Thriller"
"The Hangover Part II","$85,946,294",3615,"tt1411697","movie","The Hangover Part II",FALSE,2011,NA,102,"Comedy"
"Thor: The Dark World","$85,737,841",3841,"tt15108952","tvEpisode","Thor: The Dark World",FALSE,2021,NA,NA,"Comedy"
"X2","$85,558,731",3741,"tt0290334","movie","X2",FALSE,2003,NA,134,"Action,Sci-Fi,Thriller"
"Fifty Shades of Grey","$85,171,450",3646,"tt11799088","tvEpisode","Fifty Shades of Grey",FALSE,2015,NA,NA,"Talk-Show"
"Doctor Strange","$85,058,311",3882,"tt0910865","video","Doctor Strange",FALSE,2007,NA,76,"Action,Animation,Fantasy"
"X-Men Origins: Wolverine","$85,058,003",4099,"tt0458525","movie","X-Men Origins: Wolverine",FALSE,2009,NA,107,"Action,Sci-Fi"
"The Hobbit: An Unexpected Journey","$84,617,303",4045,"tt0903624","movie","The Hobbit: An Unexpected Journey",FALSE,2012,NA,169,"Adventure,Fantasy"
"Solo: A Star Wars Story","$84,420,489",4381,"tt10961118","tvEpisode","Solo: A Star Wars Story",FALSE,2018,NA,NA,"Comedy,Talk-Show"
"The Passion of the Christ","$83,848,082",3043,"tt0335345","movie","The Passion of the Christ",FALSE,2004,NA,127,"Drama"
"Despicable Me 2","$83,517,315",3997,"tt13477156","tvEpisode","Despicable Me 2",FALSE,2016,NA,NA,"Talk-Show"
"Oppenheimer","$82,455,420",3610,"tt0078037","tvMiniSeries","Oppenheimer",FALSE,1980,1980,420,"Biography,Drama,History"
"Monsters University","$82,429,469",4004,"tt1453405","movie","Monsters University",FALSE,2013,NA,104,"Adventure,Animation,Comedy"
"Black Widow","$80,366,312",4160,"tt0046791","movie","Black Widow",FALSE,1954,NA,95,"Drama,Film-Noir,Mystery"
"Venom","$80,255,756",4250,"tt0067934","movie","The Legend of Spider Forest",FALSE,1971,NA,91,"Horror"
"Star Wars: Episode II - Attack of the Clones","$80,027,814",3161,"tt0121765","movie","Star Wars: Episode II - Attack of the Clones",FALSE,2002,NA,142,"Action,Adventure,Fantasy"
"Oz the Great and Powerful","$79,110,453",3912,"tt1623205","movie","Oz the Great and Powerful",FALSE,2013,NA,130,"Adventure,Family,Fantasy"
"Harry Potter and the Half-Blood Prince","$77,835,727",4325,"tt0417741","movie","Harry Potter and the Half-Blood Prince",FALSE,2009,NA,153,"Action,Adventure,Family"
"I Am Legend","$77,211,321",3606,"tt0228413","video","I Am Legend",FALSE,1994,NA,NA,"Biography,Documentary"
"Harry Potter and the Order of the Phoenix","$77,108,414",4285,"tt0373889","movie","Harry Potter and the Order of the Phoenix",FALSE,2007,NA,138,"Action,Adventure,Family"
"The Da Vinci Code","$77,073,388",3735,"tt0382625","movie","The Da Vinci Code",FALSE,2006,NA,149,"Mystery,Thriller"
"Avatar","$77,025,481",3452,"tt0154182","movie","Avatar",FALSE,1941,NA,NA,"Drama"
"Halloween","$76,221,545",3928,"tt0077651","movie","Halloween",FALSE,1978,NA,91,"Horror,Thriller"
"Ant-Man and the Wasp","$75,812,205",4206,"tt11402446","tvEpisode","Ant-Man and the Wasp",FALSE,2019,NA,NA,"Documentary,Short"
"Shang-Chi and the Legend of the Ten Rings","$75,388,688",4300,"tt15314168","tvEpisode","Shang-Chi and the Legend of the Ten Rings",FALSE,2021,NA,NA,"Talk-Show"
"Star Trek","$75,204,289",3849,"tt0060028","tvSeries","Star Trek",FALSE,1966,1969,50,"Action,Adventure,Sci-Fi"
"Zootopia","$75,063,401",3827,"tt12853176","tvEpisode","Zootopia",FALSE,2016,NA,NA,"Talk-Show"
"Fantastic Beasts and Where to Find Them","$74,403,387",4144,"tt3183660","movie","Fantastic Beasts and Where to Find Them",FALSE,2016,NA,132,"Adventure,Family,Fantasy"
"The Simpsons Movie","$74,036,787",3922,"tt0462538","movie","The Simpsons Movie",FALSE,2007,NA,87,"Adventure,Animation,Comedy"
"John Wick: Chapter 4","$73,817,950",3855,"tt10366206","movie","John Wick: Chapter 4",FALSE,2023,NA,169,"Action,Crime,Thriller"
"The Hobbit: The Desolation of Smaug","$73,645,197",3903,"tt1170358","movie","The Hobbit: The Desolation of Smaug",FALSE,2013,NA,161,"Adventure,Drama,Fantasy"
"Austin Powers in Goldmember","$73,071,188",3613,"tt0295178","movie","Austin Powers in Goldmember",FALSE,2002,NA,94,"Action,Adventure,Comedy"
"The Lord of the Rings: The Return of the King","$72,629,713",3703,"tt0167260","movie","The Lord of the Rings: The Return of the King",FALSE,2003,NA,201,"Action,Adventure,Drama"
"Dawn of the Planet of the Apes","$72,611,427",3967,"tt12696760","tvEpisode","Dawn of the Planet of the Apes",FALSE,2015,NA,NA,"Comedy,Talk-Show"
"Despicable Me 3","$72,434,025",4529,"tt11951714","tvEpisode","Despicable Me 3",FALSE,2018,NA,6,"Animation,Reality-TV,Talk-Show"
"The Lost World: Jurassic Park","$72,132,785",3281,"tt0119567","movie","The Lost World: Jurassic Park",FALSE,1997,NA,129,"Action,Adventure,Sci-Fi"
"Sonic the Hedgehog 2","$72,105,176",4234,"tt0291491","videoGame","Sonic the Hedgehog 2",FALSE,1992,NA,NA,"Action,Adventure,Family"
"Eternals","$71,297,219",4090,"tt1357396","short","Eternals",FALSE,2008,NA,27,"Short"
"Us","$71,117,625",3741,"tt0103181","tvMovie","Us",FALSE,1991,NA,93,"Drama"
"Fast & Furious","$70,950,500",3461,"tt1013752","movie","Fast & Furious",FALSE,2009,NA,107,"Action,Crime,Thriller"
"300","$70,885,301",3103,"tt0416449","movie","300",FALSE,2006,NA,117,"Action,Drama"
"Shrek Forever After","$70,838,207",4359,"tt0892791","movie","Shrek Forever After",FALSE,2010,NA,95,"Adventure,Animation,Comedy"
"Transformers","$70,502,384",4011,"tt0086817","tvSeries","The Transformers",FALSE,1984,1987,30,"Action,Adventure,Animation"
"The Incredibles","$70,467,623",3933,"tt0317705","movie","The Incredibles",FALSE,2004,NA,115,"Action,Adventure,Animation"
"Spectre","$70,403,148",3929,"tt0076745","tvMovie","Spectre",FALSE,1977,NA,98,"Horror"
"Finding Nemo","$70,251,710",3374,"tt0266543","movie","Finding Nemo",FALSE,2003,NA,100,"Adventure,Animation,Comedy"
"The Lorax","$70,217,070",3729,"tt0213065","tvMovie","The Lorax",FALSE,1972,NA,25,"Animation,Drama,Family"
"Star Trek Into Darkness","$70,165,559",3868,"tt12700136","tvEpisode","Star Trek Into Darkness",FALSE,2014,NA,NA,"Comedy"
"F9: The Fast Saga","$70,043,165",4179,"tt14870574","tvEpisode","F9: The Fast Saga",FALSE,2021,NA,NA,"Talk-Show"
"Twilight","$69,637,740",3419,"tt0002545","short","Twilight",FALSE,1912,NA,NA,"Drama,Romance,Short"
"Maleficent","$69,431,298",3948,"tt11032838","tvEpisode","Maleficent",FALSE,2019,NA,NA,"Comedy"
"The Bourne Ultimatum","$69,283,690",3660,"tt0440963","movie","The Bourne Ultimatum",FALSE,2007,NA,115,"Action,Mystery,Thriller"
"Pitch Perfect 2","$69,216,890",3473,"tt10641988","tvEpisode","Pitch Perfect 2",FALSE,2015,NA,NA,"\N"
"The Lego Movie","$69,050,279",3775,"tt10622828","tvEpisode","The Lego Movie",FALSE,2014,NA,NA,"Documentary"
"The Day After Tomorrow","$68,743,584",3425,"tt0319262","movie","The Day After Tomorrow",FALSE,2004,NA,124,"Action,Adventure,Sci-Fi"
