"name","openinggross","theathers","tconst","titleType","primaryTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"Madagascar 3: Europe's Most Wanted","$60,316,738",4258,"tt1277953","movie","Madagascar 3: Europe's Most Wanted",FALSE,2012,NA,95,"Adventure,Animation,Comedy"
"Kung Fu Panda","$60,239,130",4114,"tt0441773","movie","Kung Fu Panda",FALSE,2008,NA,92,"Action,Adventure,Animation"
"Straight Outta Compton","$60,200,180",2757,"tt11095858","tvEpisode","Straight Outta Compton",FALSE,2006,NA,NA,"Comedy"
"Cars","$60,119,509",3985,"tt0317219","movie","Cars",FALSE,2006,NA,117,"Adventure,Animation,Comedy"
"Signs","$60,117,080",3264,"tt0286106","movie","Signs",FALSE,2002,NA,106,"Drama,Mystery,Sci-Fi"
"Fast & Furious Presents: Hobbs & Shaw","$60,038,950",4253,"tt10725678","tvEpisode","Fast & Furious Presents: Hobbs & Shaw",FALSE,2019,NA,NA,"Talk-Show"
"Monsters vs. Aliens","$59,321,095",4104,"tt0892782","movie","Monsters vs. Aliens",FALSE,2009,NA,94,"Action,Adventure,Animation"
"Star Trek Beyond","$59,253,211",3928,"tt13864408","tvEpisode","Star Trek Beyond",FALSE,2021,NA,NA,"Comedy"
"Jumanji: The Next Level","$59,251,543",4227,"tt11443076","tvEpisode","Jumanji: The Next Level",FALSE,2019,NA,27,"Comedy,Talk-Show"
"Jason Bourne","$59,215,365",4026,"tt10969312","short","Jason Bourne",FALSE,2016,NA,10,"Short"
"Pearl Harbor","$59,078,912",3214,"tt0213149","movie","Pearl Harbor",FALSE,2001,NA,183,"Action,Drama,History"
"Creed III","$58,370,007",4007,"tt11145118","movie","Creed III",FALSE,2023,NA,116,"Drama,Sport"
"Fantastic Four: Rise of the Silver Surfer","$58,051,684",3959,"tt10162356","tvEpisode","Fantastic Four: Rise of the Silver Surfer",FALSE,2018,NA,NA,"Comedy"
"Sonic the Hedgehog","$58,018,348",4167,"tt0106140","tvSeries","Sonic the Hedgehog",FALSE,1993,1994,22,"Action,Adventure,Animation"
"Hannibal","$58,003,121",3230,"tt0122097","movie","Hannibal",FALSE,1994,NA,NA,"\N"
"Mission: Impossible II","$57,845,297",3653,"tt0120755","movie","Mission: Impossible II",FALSE,2000,NA,123,"Action,Adventure,Thriller"
"Ant-Man","$57,225,526",3856,"tt0478970","movie","Ant-Man",FALSE,2015,NA,117,"Action,Comedy,Sci-Fi"
"22 Jump Street","$57,071,445",3306,"tt2294449","movie","22 Jump Street",FALSE,2014,NA,112,"Action,Comedy,Crime"
"Sex and the City","$57,038,404",3285,"tt0159206","tvSeries","Sex and the City",FALSE,1998,2004,30,"Comedy,Drama,Romance"
"John Wick: Chapter 3 - Parabellum","$56,818,067",3850,"tt10308348","tvEpisode","John Wick: Chapter 3 - Parabellum",FALSE,2019,NA,NA,"Talk-Show"
"Moana","$56,631,401",3875,"tt0017162","movie","Moana",FALSE,1926,NA,77,"Documentary"
"Despicable Me","$56,397,125",3476,"tt1323594","movie","Despicable Me",FALSE,2010,NA,95,"Adventure,Animation,Comedy"
"War for the Planet of the Apes","$56,262,929",4022,"tt3450958","movie","War for the Planet of the Apes",FALSE,2017,NA,140,"Action,Adventure,Drama"
"Valentine's Day","$56,260,707",3665,"tt0057795","tvSeries","Valentine's Day",FALSE,1964,1965,30,"Comedy"
"Ralph Breaks the Internet","$56,237,634",4017,"tt10650300","tvEpisode","Ralph Breaks the Internet",FALSE,2018,NA,NA,"Talk-Show"
"Snow White and the Huntsman","$56,217,700",3773,"tt11685684","tvEpisode","Snow White and the Huntsman",FALSE,2020,NA,NA,"Comedy"
"Big Hero 6","$56,215,889",3761,"tt14838502","tvEpisode","Big Hero 6",FALSE,2021,NA,8,"Animation,Talk-Show"
"Charlie and the Chocolate Factory","$56,178,450",3770,"tt0367594","movie","Charlie and the Chocolate Factory",FALSE,2005,NA,115,"Adventure,Comedy,Family"
"Fantastic Four","$56,061,504",3602,"tt0120667","movie","Fantastic Four",FALSE,2005,NA,106,"Action,Adventure,Fantasy"
"Gravity","$55,785,112",3575,"tt0156579","short","Gravity",FALSE,1976,NA,8,"Comedy,Short"
"The Karate Kid","$55,665,805",3663,"tt0087538","movie","The Karate Kid",FALSE,1984,NA,126,"Action,Drama,Family"
"Mission: Impossible - Rogue Nation","$55,520,089",3956,"tt2381249","movie","Mission: Impossible - Rogue Nation",FALSE,2015,NA,131,"Action,Adventure,Thriller"
"The Incredible Hulk","$55,414,050",3505,"tt0076190","tvEpisode","The Incredible Hulk",FALSE,1977,NA,95,"Action,Adventure,Drama"
"The SpongeBob Movie: Sponge Out of Water","$55,365,012",3641,"tt11253066","tvEpisode","The SpongeBob Movie: Sponge Out of Water",FALSE,2015,NA,NA,"Animation,Comedy,Family"
"No Time to Die","$55,225,007",4407,"tt0103987","tvMovie","No Time to Die",FALSE,1992,NA,93,"Crime,Drama,Mystery"
"Watchmen","$55,214,334",3611,"tt0409459","movie","Watchmen",FALSE,2009,NA,162,"Action,Drama,Mystery"
"X-Men: First Class","$55,101,604",3641,"tt12638374","tvEpisode","X-Men: First Class",FALSE,2012,NA,NA,"Comedy"
"How the Grinch Stole Christmas","$55,082,330",3127,"tt0170016","movie","How the Grinch Stole Christmas",FALSE,2000,NA,104,"Comedy,Family,Fantasy"
"The Flash","$55,043,679",4234,"tt0098798","tvSeries","The Flash",FALSE,1990,1991,48,"Action,Crime,Fantasy"
"The Chronicles of Narnia: Prince Caspian","$55,034,805",3929,"tt0499448","movie","The Chronicles of Narnia: Prince Caspian",FALSE,2008,NA,150,"Action,Adventure,Family"
"How to Train Your Dragon: The Hidden World","$55,022,245",4259,"tt11958718","tvEpisode","How to Train Your Dragon: The Hidden World",FALSE,2020,NA,10,"Animation,Reality-TV,Talk-Show"
"Austin Powers: The Spy Who Shagged Me","$54,917,604",3312,"tt0145660","movie","Austin Powers: The Spy Who Shagged Me",FALSE,1999,NA,95,"Action,Adventure,Comedy"
"Rise of the Planet of the Apes","$54,806,191",3648,"tt1318514","movie","Rise of the Planet of the Apes",FALSE,2011,NA,105,"Action,Drama,Sci-Fi"
"The Hobbit: The Battle of the Five Armies","$54,724,334",3875,"tt10967904","tvEpisode","The Hobbit: The Battle of the Five Armies",FALSE,2015,NA,NA,"Comedy,Talk-Show"
"G.I. Joe: The Rise of Cobra","$54,713,046",4007,"tt1046173","movie","G.I. Joe: The Rise of Cobra",FALSE,2009,NA,118,"Action,Adventure,Sci-Fi"
"Mission: Impossible - Dead Reckoning Part One","$54,688,347",4327,"tt28241739","tvEpisode","Mission: Impossible - Dead Reckoning Part One",FALSE,2023,NA,NA,"Talk-Show"
"Divergent","$54,607,747",3936,"tt11306806","tvEpisode","Divergent",FALSE,2019,NA,NA,"Drama"
"Men in Black 3","$54,592,779",4248,"tt1409024","movie","Men in Black 3",FALSE,2012,NA,106,"Action,Adventure,Comedy"
"San Andreas","$54,588,173",3777,"tt11929058","tvEpisode","San Andreas",FALSE,2017,NA,19,"Comedy,Crime"
"X-Men","$54,471,475",3025,"tt0103584","tvSeries","X-Men: The Animated Series",FALSE,1992,1997,23,"Action,Adventure,Animation"
"Ted","$54,415,205",3239,"tt0159787","movie","Ted",FALSE,1998,NA,85,"Comedy"
"Pokémon: Detective Pikachu","$54,365,242",4202,"tt10328382","tvEpisode","Pokémon: Detective Pikachu",FALSE,2019,NA,NA,"Comedy,Talk-Show"
"The Martian","$54,308,575",3831,"tt0683225","tvEpisode","The Martian",FALSE,1992,NA,22,"Drama,Fantasy,Horror"
"Night at the Museum: Battle of the Smithsonian","$54,173,286",4096,"tt1078912","movie","Night at the Museum: Battle of the Smithsonian",FALSE,2009,NA,105,"Adventure,Comedy,Family"
"Scooby-Doo","$54,155,312",3447,"tt0267913","movie","Scooby-Doo",FALSE,2002,NA,89,"Adventure,Comedy,Family"
"The Nun","$53,807,379",3876,"tt0660740","tvEpisode","The Nun",FALSE,1984,NA,24,"Comedy"
"Cars 3","$53,688,680",4256,"tt11951680","tvEpisode","Cars 3",FALSE,2018,NA,7,"Animation,Reality-TV,Talk-Show"
"Shazam!","$53,505,326",4217,"tt0071050","tvSeries","Shazam!",FALSE,1974,1977,30,"Action,Family,Fantasy"
"Green Lantern","$53,174,303",3816,"tt11199386","tvSeries","Green Lantern",FALSE,NA,NA,NA,"Action,Adventure,Drama"
"The Wolverine","$53,113,752",3924,"tt0180313","movie","The Wolverine",FALSE,1921,NA,NA,"Western"
"The Lego Batman Movie","$53,003,468",4088,"tt10969748","tvEpisode","The Lego Batman Movie",FALSE,2017,NA,NA,"Comedy,Talk-Show"
"Batman Forever","$52,784,433",2842,"tt0112462","movie","Batman Forever",FALSE,1995,NA,121,"Action,Adventure"
"Paranormal Activity 3","$52,568,183",3321,"tt1778304","movie","Paranormal Activity 3",FALSE,2011,NA,83,"Horror,Mystery,Thriller"
"Superman Returns","$52,535,096",4065,"tt0348150","movie","Superman Returns",FALSE,2006,NA,154,"Action,Adventure,Sci-Fi"
"The Bourne Supremacy","$52,521,865",3165,"tt0372183","movie","The Bourne Supremacy",FALSE,2004,NA,108,"Action,Mystery,Thriller"
"The Divergent Series: Insurgent","$52,263,680",3875,"tt5532686","tvEpisode","The Divergent Series: Insurgent",FALSE,2016,NA,NA,"Comedy"
"I, Robot","$52,179,887",3420,"tt0343818","movie","I, Robot",FALSE,2004,NA,115,"Action,Mystery,Sci-Fi"
"Men in Black II","$52,148,751",3557,"tt0120912","movie","Men in Black II",FALSE,2002,NA,88,"Action,Adventure,Comedy"
"Home","$52,107,731",3708,"tt0001682","short","Home",FALSE,1911,NA,NA,"Drama,Short"
"Van Helsing","$51,748,040",3575,"tt0338526","movie","Van Helsing",FALSE,2004,NA,131,"Action,Adventure,Fantasy"
"8 Mile","$51,240,555",2470,"tt0298203","movie","8 Mile",FALSE,2002,NA,110,"Drama,Music"
"Men in Black","$51,068,455",3020,"tt0025488","short","Men in Black",FALSE,1934,NA,19,"Comedy,Short"
"Bohemian Rhapsody","$51,061,119",4000,"tt0720056","tvEpisode","Bohemian Rhapsody",FALSE,2005,NA,22,"Comedy,Drama,Romance"
"Prometheus","$51,050,101",3396,"tt0119956","movie","Prometheus",FALSE,1998,NA,130,"Drama,Family,Fantasy"
"Wanted","$50,927,085",3175,"tt0047785","tvSeries","Wanted",FALSE,1955,1956,30,"Crime,Drama"
"Coco","$50,802,605",3987,"tt0353313","short","Coco",FALSE,2000,NA,2,"Animation,Comedy,Short"
"Jurassic Park III","$50,771,645",3434,"tt0163025","movie","Jurassic Park III",FALSE,2001,NA,92,"Action,Adventure,Sci-Fi"
"The Village","$50,746,142",3730,"tt0108494","short","The Village",FALSE,1993,NA,14,"Animation,Short"
"Lightyear","$50,577,961",4255,"tt10298810","movie","Lightyear",FALSE,2022,NA,105,"Action,Adventure,Animation"
"Dunkirk","$50,513,488",3720,"tt0051565","movie","Dunkirk",FALSE,1958,NA,135,"Action,Drama,History"
"2 Fast 2 Furious","$50,472,480",3408,"tt0322259","movie","2 Fast 2 Furious",FALSE,2003,NA,107,"Action,Crime,Thriller"
"Jackass 3D","$50,353,641",3081,"tt1116184","movie","Jackass 3D",FALSE,2010,NA,94,"Action,Comedy,Documentary"
"Mr. & Mrs. Smith","$50,342,878",3424,"tt0033922","movie","Mr. & Mrs. Smith",FALSE,1941,NA,95,"Comedy,Romance"
"Rush Hour 3","$50,237,000",3778,"tt0293564","movie","Rush Hour 3",FALSE,2007,NA,91,"Action,Comedy,Crime"
"Independence Day","$50,228,264",2882,"tt0073165","movie","Independence Day",FALSE,1976,NA,87,"Drama"
"A Quiet Place","$50,203,562",3508,"tt0603836","tvEpisode","A Quiet Place",FALSE,1975,NA,NA,"Action,Crime,Drama"
"The Boss Baby","$50,198,902",3773,"tt11951540","tvEpisode","The Boss Baby",FALSE,2018,NA,4,"Animation,Reality-TV,Talk-Show"
"King Kong","$50,130,145",3568,"tt0024216","movie","King Kong",FALSE,1933,NA,100,"Adventure,Horror,Sci-Fi"
"The Great Gatsby","$50,085,185",3535,"tt0016938","movie","The Great Gatsby",FALSE,1926,NA,80,"Drama"
"Scary Movie 3","$49,700,000",3505,"tt0306047","movie","Scary Movie 3",FALSE,2003,NA,84,"Comedy"
"Taken 2","$49,514,769",3661,"tt13454610","tvEpisode","Taken 2",FALSE,2019,NA,13,"Comedy,Documentary,Mystery"
"How to Train Your Dragon 2","$49,451,322",4253,"tt1646971","movie","How to Train Your Dragon 2",FALSE,2014,NA,102,"Action,Adventure,Animation"
"Halloween Kills","$49,404,980",3705,"tt10665338","movie","Halloween Kills",FALSE,2021,NA,105,"Action,Horror,Thriller"
"Wreck-It Ralph","$49,038,712",3752,"tt14818690","tvEpisode","Wreck-It Ralph",FALSE,2021,NA,7,"Animation,Talk-Show"
"Neighbors","$49,033,915",3279,"tt0002387","short","Neighbors",FALSE,1912,NA,6,"Comedy,Short"
"Alvin and the Chipmunks: The Squeakquel","$48,875,415",3700,"tt10766720","tvEpisode","Alvin and the Chipmunks: The Squeakquel",FALSE,2019,NA,NA,"Music"
"Tangled","$48,767,052",3603,"tt0117831","movie","Tangled",FALSE,1997,NA,95,"Drama"
"Batman Begins","$48,745,440",3858,"tt0372784","movie","Batman Begins",FALSE,2005,NA,140,"Action,Crime,Drama"
"The Matrix Revolutions","$48,475,154",3502,"tt0242653","movie","The Matrix Revolutions",FALSE,2003,NA,129,"Action,Sci-Fi"
"Hotel Transylvania 2","$48,464,322",3754,"tt0141208","movie","Hotel Transylvania 2",TRUE,1990,NA,73,"Adult"
"The Fault in Our Stars","$48,002,523",3173,"tt0656848","tvEpisode","The Fault in Our Stars",FALSE,1961,NA,60,"Crime,Drama,Thriller"
"Godzilla: King of the Monsters","$47,776,293",4108,"tt10405962","tvEpisode","Godzilla: King of the Monsters",FALSE,2019,NA,NA,"Comedy,Talk-Show"
"Mission: Impossible III","$47,743,273",4054,"tt0317919","movie","Mission: Impossible III",FALSE,2006,NA,126,"Action,Adventure,Thriller"
"Lara Croft: Tomb Raider","$47,735,743",3308,"tt0146316","movie","Lara Croft: Tomb Raider",FALSE,2001,NA,100,"Action,Adventure,Fantasy"
"Kung Fu Panda 2","$47,656,302",3925,"tt1302011","movie","Kung Fu Panda 2",FALSE,2011,NA,90,"Action,Adventure,Animation"
"The Longest Yard","$47,606,480",3634,"tt0071771","movie","The Longest Yard",FALSE,1974,NA,121,"Comedy,Crime,Drama"
"Shark Tale","$47,604,606",4016,"tt0307453","movie","Shark Tale",FALSE,2004,NA,90,"Adventure,Animation,Comedy"
"A Quiet Place Part II","$47,547,231",3726,"tt11950516","tvEpisode","A Quiet Place Part II",FALSE,2020,NA,NA,"Talk-Show"
"Interstellar","$47,510,360",3561,"tt0758429","short","Interstellar",FALSE,2005,NA,7,"Drama,Sci-Fi,Short"
"Madagascar","$47,224,594",4131,"tt0110427","movie","Madagascar",FALSE,1995,NA,50,"Drama"
"The Lord of the Rings: The Fellowship of the Ring","$47,211,490",3359,"tt0120737","movie","The Lord of the Rings: The Fellowship of the Ring",FALSE,2001,NA,178,"Action,Adventure,Drama"
"Die Another Day","$47,072,040",3314,"tt0246460","movie","Die Another Day",FALSE,2002,NA,133,"Action,Adventure,Thriller"
"Talladega Nights: The Ballad of Ricky Bobby","$47,042,215",3803,"tt0415306","movie","Talladega Nights: The Ballad of Ricky Bobby",FALSE,2006,NA,108,"Comedy,Sport"
"Ratatouille","$47,027,395",3940,"tt0382932","movie","Ratatouille",FALSE,2007,NA,111,"Adventure,Animation,Comedy"
"Jurassic Park","$47,026,828",2404,"tt0107290","movie","Jurassic Park",FALSE,1993,NA,127,"Action,Adventure,Sci-Fi"
"Troy","$46,865,412",3411,"tt0332452","movie","Troy",FALSE,2004,NA,163,"Drama"
"The Secret Life of Pets 2","$46,652,680",4561,"tt10374686","tvEpisode","The Secret Life of Pets 2",FALSE,2019,NA,NA,"Talk-Show"
"Pirates of the Caribbean: The Curse of the Black Pearl","$46,630,690",3269,"tt0325980","movie","Pirates of the Caribbean: The Curse of the Black Pearl",FALSE,2003,NA,143,"Action,Adventure,Fantasy"
"Ice Age: Continental Drift","$46,629,259",3881,"tt1667889","movie","Ice Age: Continental Drift",FALSE,2012,NA,88,"Adventure,Animation,Comedy"
"Fifty Shades Darker","$46,607,250",3710,"tt21339962","video","Fifty Shades Darker",FALSE,2012,NA,NA,"Drama"
"Trolls","$46,581,142",4060,"tt0550622","tvEpisode","Trolls",FALSE,1988,NA,23,"Action,Adventure,Drama"
"Bad Boys II","$46,522,560",3186,"tt0172156","movie","Bad Boys II",FALSE,2003,NA,147,"Action,Comedy,Crime"
"Ice Age","$46,312,454",3316,"tt0077715","tvEpisode","Ice Age",FALSE,1978,NA,NA,"Crime,Drama,Mystery"
"Angels & Demons","$46,204,168",3527,"tt0808151","movie","Angels & Demons",FALSE,2009,NA,138,"Action,Mystery,Thriller"
"Meet the Fockers","$46,120,980",3518,"tt0290002","movie","Meet the Fockers",FALSE,2004,NA,115,"Comedy,Romance"
"Ghostbusters","$46,018,755",3963,"tt0087332","movie","Ghostbusters",FALSE,1984,NA,105,"Action,Comedy,Fantasy"
"Megamind","$46,016,833",3944,"tt1001526","movie","Megamind",FALSE,2010,NA,95,"Action,Animation,Comedy"
"Dumbo","$45,990,748",4259,"tt0033563","movie","Dumbo",FALSE,1941,NA,64,"Adventure,Animation,Drama"
"Batman Returns","$45,687,711",2644,"tt0103776","movie","Batman Returns",FALSE,1992,NA,126,"Action,Crime,Fantasy"
"Mission: Impossible","$45,436,830",3012,"tt0060009","tvSeries","Mission: Impossible",FALSE,1966,1973,NA,"Action,Adventure,Crime"
"Mad Max: Fury Road","$45,428,128",3702,"tt13803362","tvEpisode","Mad Max: Fury Road",FALSE,2020,NA,NA,"Comedy"
"The Meg","$45,402,195",4118,"tt10091850","tvEpisode","The Meg",FALSE,2019,NA,NA,"Comedy"
"Ghost Rider","$45,388,836",3619,"tt0190183","tvSeries","Ghost Rider",FALSE,1999,NA,NA,"Action,Adventure,Sci-Fi"
"American Pie 2","$45,117,985",3063,"tt0252866","movie","American Pie 2",FALSE,2001,NA,108,"Comedy"
"300: Rise of an Empire","$45,038,460",3470,"tt1253863","movie","300: Rise of an Empire",FALSE,2014,NA,102,"Action,Drama,War"
"Horton Hears a Who!","$45,012,998",3954,"tt0198545","tvMovie","Horton Hears a Who!",FALSE,1970,NA,26,"Adventure,Animation,Comedy"
"The Hangover","$44,979,319",3269,"tt0156591","short","The Hangover",FALSE,1931,NA,9,"Short"
"National Treasure: Book of Secrets","$44,783,772",3832,"tt0465234","movie","National Treasure: Book of Secrets",FALSE,2007,NA,124,"Action,Adventure,Mystery"
"Transformers: The Last Knight","$44,680,073",4069,"tt13984614","tvEpisode","Transformers: The Last Knight",FALSE,2020,NA,8,"Documentary"
"xXx","$44,506,103",3374,"tt0295701","movie","xXx",FALSE,2002,NA,124,"Action,Adventure,Thriller"
"Scream VI","$44,447,270",3675,"tt17663992","movie","Scream VI",FALSE,2023,NA,122,"Horror,Mystery,Thriller"
"Nope","$44,366,910",3785,"tt0513704","tvEpisode","Nope",FALSE,2000,NA,NA,"Drama"
"Alvin and the Chipmunks","$44,307,417",3475,"tt0952640","movie","Alvin and the Chipmunks",FALSE,2007,NA,92,"Adventure,Animation,Comedy"
"The Peanuts Movie","$44,213,073",3897,"tt11253594","tvEpisode","The Peanuts Movie",FALSE,2015,NA,NA,"Animation,Comedy,Family"
"Hotel Transylvania 3: Summer Vacation","$44,076,225",4267,"tt5220122","movie","Hotel Transylvania 3: Summer Vacation",FALSE,2018,NA,97,"Adventure,Animation,Comedy"
"Terminator 3: Rise of the Machines","$44,041,440",3504,"tt0181852","movie","Terminator 3: Rise of the Machines",FALSE,2003,NA,109,"Action,Sci-Fi"
"TRON: Legacy","$44,026,211",3451,"tt12638446","tvEpisode","TRON: Legacy",FALSE,2012,NA,NA,"Comedy"
"Uncharted","$44,010,155",4275,"tt1057576","movie","Uncharted",FALSE,2009,NA,79,"Horror"
"Ghostbusters: Afterlife","$44,008,406",4315,"tt16117596","tvEpisode","Ghostbusters: Afterlife",FALSE,2021,NA,NA,"Talk-Show"
"Lucy","$43,899,340",3173,"tt0361856","tvMovie","Lucy",FALSE,2003,NA,128,"Biography,Comedy,Drama"
"How to Train Your Dragon","$43,732,319",4055,"tt0892769","movie","How to Train Your Dragon",FALSE,2010,NA,98,"Action,Adventure,Animation"
"Noah","$43,720,472",3567,"tt0107698","short","Noah",FALSE,1993,NA,11,"Animation,Short"
"The Croods","$43,639,736",4046,"tt0481499","movie","The Croods",FALSE,2013,NA,98,"Action,Adventure,Animation"
"American Gangster","$43,565,135",3054,"tt0765429","movie","American Gangster",FALSE,2007,NA,157,"Biography,Crime,Drama"
"The Mummy","$43,369,635",3210,"tt0023245","movie","The Mummy",FALSE,1932,NA,73,"Fantasy,Horror"
"Hitch","$43,142,214",3575,"tt0191181","short","Hitch",FALSE,2000,NA,18,"Short"
"A Star Is Born","$42,908,051",3686,"tt0029606","movie","A Star Is Born",FALSE,1937,NA,111,"Drama,Romance"
"Batman & Robin","$42,872,605",2934,"tt0118688","movie","Batman & Robin",FALSE,1997,NA,125,"Action,Sci-Fi"
"Terminator Salvation","$42,558,390",3530,"tt0438488","movie","Terminator Salvation",FALSE,2009,NA,115,"Action,Adventure,Sci-Fi"
"Hotel Transylvania","$42,522,194",3349,"tt0141207","movie","Hotel Transylvania",TRUE,1990,NA,74,"Adult"
"Nutty Professor II: The Klumps","$42,518,830",3242,"tt0144528","movie","Nutty Professor II: The Klumps",FALSE,2000,NA,106,"Comedy,Romance,Sci-Fi"
"Shrek","$42,347,760",3587,"tt0126029","movie","Shrek",FALSE,2001,NA,90,"Adventure,Animation,Comedy"
"Scary Movie","$42,346,669",2912,"tt0138078","movie","Scary Movie",FALSE,1991,NA,82,"Comedy,Horror,Thriller"
"Anger Management","$42,220,847",3551,"tt0305224","movie","Anger Management",FALSE,2003,NA,106,"Comedy"
"Fantastic Beasts: The Secrets of Dumbledore","$42,151,256",4208,"tt19388236","tvEpisode","Fantastic Beasts: The Secrets of Dumbledore",FALSE,2022,NA,NA,"Comedy"
"High School Musical 3: Senior Year","$42,030,184",3623,"tt0962726","movie","High School Musical 3: Senior Year",FALSE,2008,NA,112,"Comedy,Drama,Family"
"The Conjuring","$41,855,326",2903,"tt12752124","tvEpisode","The Conjuring",FALSE,2016,NA,NA,"Comedy"
"Ready Player One","$41,764,050",4234,"tt13358520","tvEpisode","Ready Player One",FALSE,2018,NA,NA,"Talk-Show"
"Ice Age: Dawn of the Dinosaurs","$41,690,382",4099,"tt1080016","movie","Ice Age: Dawn of the Dinosaurs",FALSE,2009,NA,94,"Adventure,Animation,Comedy"
"The Hangover Part III","$41,671,198",3555,"tt1951261","movie","The Hangover Part III",FALSE,2013,NA,100,"Comedy,Crime"
"Ocean's Eight","$41,607,378",4145,"tt5164214","movie","Ocean's Eight",FALSE,2018,NA,110,"Action,Comedy,Crime"
"Big Daddy","$41,536,370",3027,"tt0058968","movie","Big Daddy",FALSE,1969,NA,68,"Adventure,Crime,Drama"
"Happy Feet","$41,533,432",3804,"tt0366548","movie","Happy Feet",FALSE,2006,NA,108,"Adventure,Animation,Comedy"
"Ride Along","$41,516,170",2663,"tt0632206","tvEpisode","Ride Along",FALSE,1997,NA,23,"Comedy"
"Grown Ups 2","$41,508,572",3491,"tt2191701","movie","Grown Ups 2",FALSE,2013,NA,101,"Comedy"
"The Perfect Storm","$41,325,042",3407,"tt0177971","movie","The Perfect Storm",FALSE,2000,NA,130,"Action,Adventure,Drama"
"Kung Fu Panda 3","$41,282,042",3955,"tt2267968","movie","Kung Fu Panda 3",FALSE,2016,NA,95,"Action,Adventure,Animation"
"The Vow","$41,202,458",2958,"tt0006235","movie","The Vow",FALSE,1915,NA,NA,"Drama"
"Deep Impact","$41,152,375",3156,"tt0120647","movie","Deep Impact",FALSE,1998,NA,120,"Action,Drama,Sci-Fi"
"Once Upon a Time in Hollywood","$41,082,018",3659,"tt10708128","tvEpisode","Once Upon a Time in Hollywood",FALSE,2019,NA,NA,"Talk-Show"
"Shutter Island","$41,062,440",2991,"tt1130884","movie","Shutter Island",FALSE,2010,NA,138,"Mystery,Thriller"
"Twister","$41,059,405",2414,"tt0096321","movie","Twister",FALSE,1989,NA,93,"Comedy,Drama"
"Independence Day: Resurgence","$41,039,944",4130,"tt11929674","tvEpisode","Independence Day: Resurgence",FALSE,2020,NA,25,"Comedy"
"Madea Goes to Jail","$41,030,947",2032,"tt0839896","video","Madea Goes to Jail",FALSE,2006,NA,133,"Comedy,Drama,Musical"
"Dune","$41,011,174",4125,"tt0087182","movie","Dune",FALSE,1984,NA,137,"Action,Adventure,Sci-Fi"
"Casino Royale","$40,833,156",3434,"tt0061452","movie","Casino Royale",FALSE,1967,NA,131,"Comedy"
"Paranormal Activity 2","$40,678,424",3216,"tt1536044","movie","Paranormal Activity 2",FALSE,2010,NA,91,"Horror,Mystery"
"Friday the 13th","$40,570,365",3105,"tt0001632","short","Friday the 13th",FALSE,1911,NA,NA,"Comedy,Short"
"Grown Ups","$40,506,562",3534,"tt0157228","tvSeries","Grown Ups",FALSE,1997,NA,30,"Comedy"
"G.I. Joe: Retaliation","$40,501,814",3719,"tt12702930","tvEpisode","G.I. Joe: Retaliation",FALSE,2014,NA,NA,"Comedy"
"Batman","$40,489,746",2194,"tt0035665","movie","Batman",FALSE,1943,NA,260,"Action,Crime,Family"
"The Mummy: Tomb of the Dragon Emperor","$40,457,770",3760,"tt0859163","movie","The Mummy: Tomb of the Dragon Emperor",FALSE,2008,NA,112,"Action,Adventure,Fantasy"
"The Conjuring 2","$40,406,314",3343,"tt26458383","tvEpisode","The Conjuring 2",FALSE,2016,NA,NA,"Talk-Show"
"Glass","$40,328,920",3841,"tt0125769","movie","Glass",FALSE,1989,NA,93,"Thriller"
"The Last Airbender","$40,325,019",3169,"tt0938283","movie","The Last Airbender",FALSE,2010,NA,103,"Action,Adventure,Family"
"Daredevil","$40,310,419",3471,"tt0287978","movie","Daredevil",FALSE,2003,NA,103,"Action,Crime"
"Power Rangers","$40,300,288",3693,"tt0932757","tvEpisode","Power Rangers",FALSE,2007,NA,NA,"Comedy"
"Insidious: Chapter 2","$40,272,103",3049,"tt2226417","movie","Insidious: Chapter 2",FALSE,2013,NA,106,"Horror,Mystery,Thriller"
"Scary Movie 4","$40,222,875",3602,"tt0362120","movie","Scary Movie 4",FALSE,2006,NA,83,"Comedy"
"Safe House","$40,172,720",3119,"tt0120051","movie","Safe House",FALSE,1998,NA,112,"Drama,Thriller"
"Charlie's Angels","$40,128,550",3037,"tt0073972","tvSeries","Charlie's Angels",FALSE,1976,1981,60,"Action,Adventure,Crime"
"The Fast and the Furious","$40,089,015",2628,"tt0046969","movie","The Fast and the Furious",FALSE,1954,NA,73,"Crime,Drama,Film-Noir"
"Cloverfield","$40,058,229",3411,"tt1060277","movie","Cloverfield",FALSE,2008,NA,85,"Action,Adventure,Horror"
"Halloween Ends","$40,050,355",3901,"tt10665342","movie","Halloween Ends",FALSE,2022,NA,111,"Horror,Thriller"
"Chicken Little","$40,049,778",3654,"tt0035733","short","Chicken Little",FALSE,1943,NA,8,"Animation,Comedy,Family"
"Click","$40,011,365",3749,"tt0142030","tvSeries","Click",FALSE,1997,NA,30,"Family,Game-Show"
"Split","$40,010,975",3038,"tt0098374","movie","Split",FALSE,1989,NA,85,"Comedy,Drama,Mystery"
"50 First Dates","$39,852,237",3591,"tt0343660","movie","50 First Dates",FALSE,2004,NA,99,"Comedy,Drama,Romance"
"Wild Hogs","$39,699,023",3287,"tt0486946","movie","Wild Hogs",FALSE,2007,NA,100,"Action,Adventure,Comedy"
